                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     24,                 1.1621,                 1.8356,                0.84816,                 1.2099,                0.85029,                0.77895,                0.85119,                0.52242,                0.84391,                0.76316,                0.83477,                 0.5035,                 1.3772,                 2.2089,                0.90709,                 1.3937,              0.0012884,              0.0012884,              0.0012884
                     25,                 1.1865,                 1.8585,                 0.8669,                 1.2407,                0.85225,                0.81967,                 0.8728,                 0.5404,                0.83808,                0.80365,                0.85497,                0.52255,                 1.3707,                 2.1601,                0.92346,                 1.3866,              0.0012575,              0.0012575,              0.0012575
                     26,                 1.1429,                 1.8013,                0.83229,                 1.2195,                0.85111,                0.76579,                0.85682,                0.52092,                 0.8429,                0.75789,                   0.85,                0.49725,                 1.4502,                 2.1286,                0.90902,                  1.439,              0.0012266,              0.0012266,              0.0012266
                     27,                 1.1328,                 1.7972,                0.80837,                 1.2054,                0.80986,                0.76216,                0.81998,                0.49949,                 0.8053,                0.75103,                0.80967,                 0.4771,                 1.4503,                 2.2448,                 1.0119,                 1.4386,              0.0011956,              0.0011956,              0.0011956
                     28,                 1.1269,                 1.7851,                0.81935,                 1.1987,                0.86448,                0.80263,                0.85732,                0.52294,                0.84943,                0.78947,                0.84364,                0.50652,                 1.4314,                 2.1557,                0.89695,                 1.4241,              0.0011647,              0.0011647,              0.0011647
                     29,                  1.093,                 1.7717,                0.77449,                 1.1788,                0.82948,                0.79211,                0.83703,                0.50648,                0.82162,                0.78421,                0.82795,                0.49443,                 1.4303,                 2.1513,                0.90909,                 1.4212,              0.0011337,              0.0011337,              0.0011337
                     30,                 1.1059,                 1.7493,                0.77831,                 1.1842,                0.83672,                0.82263,                0.86482,                0.55145,                0.82344,                0.81004,                0.85159,                   0.52,                 1.3796,                 2.1693,                  0.851,                 1.3975,              0.0011028,              0.0011028,              0.0011028
                     31,                 1.0962,                 1.7567,                0.75962,                 1.1782,                0.85496,                0.81579,                0.86202,                0.53138,                0.85646,                0.78947,                0.85423,                0.50902,                 1.4256,                 2.1806,                0.89547,                  1.417,              0.0010719,              0.0010719,              0.0010719
                     32,                 1.0824,                 1.7547,                0.75422,                 1.1696,                0.84282,                0.76053,                0.83309,                0.49328,                0.83408,                0.75263,                0.82143,                0.48377,                 1.4224,                 2.1603,                0.94649,                  1.417,              0.0010409,              0.0010409,              0.0010409
                     33,                 1.0735,                 1.7352,                0.74358,                 1.1621,                0.83945,                0.79737,                0.86617,                 0.5237,                0.86046,                0.76267,                0.85042,                0.49533,                 1.4773,                 2.2832,                0.90889,                 1.4609,                0.00101,                0.00101,                0.00101
                     34,                 1.0513,                  1.711,                0.72818,                 1.1447,                0.83302,                0.81395,                0.84817,                0.52777,                0.82902,                0.80387,                0.84581,                0.50975,                 1.3803,                 2.2245,                0.90572,                 1.3974,             0.00097906,             0.00097906,             0.00097906
                     35,                 1.0477,                 1.6991,                0.73029,                 1.1467,                0.84673,                0.75263,                0.84198,                0.52191,                0.84781,                0.74766,                0.82959,                0.50771,                 1.3925,                  2.207,                0.93269,                 1.4268,             0.00094812,             0.00094812,             0.00094812
                     36,                 1.0472,                 1.7086,                0.71945,                 1.1552,                0.80162,                0.76842,                0.81025,                 0.4952,                0.79114,                0.75789,                 0.7974,                0.48035,                 1.3762,                 2.3596,                 0.9333,                 1.4204,             0.00091719,             0.00091719,             0.00091719
                     37,                 1.0327,                 1.6467,                0.69071,                 1.1416,                0.86156,                 0.7697,                0.85416,                0.52471,                0.85272,                0.76181,                0.84222,                0.50524,                 1.3802,                 2.2812,                0.88686,                 1.4053,             0.00088625,             0.00088625,             0.00088625
                     38,                 1.0146,                 1.6607,                0.70141,                 1.1358,                0.86537,                0.80526,                0.87272,                0.55017,                0.85582,                0.78421,                0.85457,                0.52778,                 1.3625,                 2.2011,                 0.8663,                 1.3871,             0.00085531,             0.00085531,             0.00085531
                     39,                0.99903,                 1.6474,                0.67347,                 1.1241,                0.86829,                0.80263,                0.86447,                0.53834,                0.85975,                0.79474,                0.85136,                0.51476,                 1.3871,                  2.274,                0.88001,                 1.4339,             0.00082438,             0.00082438,             0.00082438
                     40,                0.97634,                 1.6211,                0.63837,                 1.1077,                 0.8056,                0.78421,                 0.8383,                0.53886,                0.79285,                0.77105,                0.82073,                0.51707,                 1.3898,                 2.2123,                0.91798,                 1.4187,             0.00079344,             0.00079344,             0.00079344
                     41,                0.96668,                 1.5975,                 0.6495,                 1.1015,                0.84794,                0.77368,                0.84901,                0.52495,                0.84008,                0.76579,                0.83544,                 0.5042,                 1.3663,                 2.2613,                0.89605,                 1.4005,              0.0007625,              0.0007625,              0.0007625
                     42,                0.96033,                 1.5696,                0.64486,                 1.0979,                 0.8486,                0.79737,                0.85993,                0.53532,                0.80625,                0.80526,                0.84139,                0.50963,                 1.4042,                 2.2998,                0.90982,                 1.4231,             0.00073156,             0.00073156,             0.00073156
                     43,                0.94616,                  1.606,                0.62527,                 1.0917,                0.79605,                    0.8,                0.84035,                0.52048,                0.79605,                    0.8,                0.83783,                0.50238,                 1.4225,                 2.2295,                0.91621,                 1.4413,             0.00070063,             0.00070063,             0.00070063
                     44,                0.96043,                 1.5888,                0.63554,                 1.0952,                0.82225,                0.79129,                0.84743,                0.54603,                0.81137,                0.78104,                0.83842,                0.52446,                 1.3537,                 2.2534,                0.85773,                 1.3939,             0.00066969,             0.00066969,             0.00066969
                     45,                0.92612,                 1.5794,                0.61625,                 1.0741,                0.84585,                0.80263,                0.86621,                0.53308,                0.83743,                0.79474,                0.85377,                0.51482,                 1.4228,                 2.2611,                0.84733,                 1.4757,             0.00063875,             0.00063875,             0.00063875
                     46,                0.91094,                 1.5317,                0.59929,                 1.0763,                0.83617,                0.79737,                0.86168,                0.53014,                0.82483,                0.78684,                0.84095,                0.51116,                   1.41,                 2.2466,                 0.8608,                 1.4337,             0.00060781,             0.00060781,             0.00060781
                     47,                0.90956,                  1.545,                0.59342,                  1.064,                0.81211,                0.81316,                0.84746,                0.52599,                0.80183,                0.78684,                0.83143,                0.50517,                 1.4233,                 2.3444,                0.88264,                 1.4671,             0.00057688,             0.00057688,             0.00057688
