                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.7465,                 2.9872,                 1.6922,                0.32226,                 0.0636,                0.07811,                0.03275,                  2.196,                 3.7817,                 1.9298,                0.00064,                0.00064,                0.00064
                      2,                 1.5289,                 1.9964,                 1.4871,                0.00701,                0.05921,                0.00437,                0.00095,                 3.4789,                 113.73,                  84.94,              0.0012799,              0.0012799,              0.0012799
                      3,                 1.5259,                 1.7199,                 1.5011,                0.19802,                0.12939,                0.07868,                0.03485,                 2.5181,                 4.2973,                 2.7593,              0.0018994,              0.0018994,              0.0018994
                      4,                 1.4867,                 1.5181,                  1.455,                0.51146,                0.40351,                 0.4053,                0.19402,                 1.8743,                 2.0344,                 1.7299,              0.0019072,              0.0019072,              0.0019072
                      5,                 1.4027,                 1.3724,                 1.4158,                0.41612,                0.38916,                0.36081,                0.17615,                 1.7904,                  2.057,                   1.74,              0.0018763,              0.0018763,              0.0018763
                      6,                 1.4026,                 1.3008,                  1.403,                0.55036,                0.46053,                0.47008,                0.24235,                 1.6967,                 1.9529,                 1.6856,              0.0018453,              0.0018453,              0.0018453
                      7,                 1.3568,                 1.2144,                 1.3606,                0.50838,                0.54605,                0.46445,                0.23862,                 1.7273,                 1.7337,                 1.6286,              0.0018144,              0.0018144,              0.0018144
                      8,                 1.3653,                 1.1961,                 1.3713,                0.58464,                0.50219,                0.53714,                0.26544,                 1.8039,                 1.6599,                 1.7037,              0.0017834,              0.0017834,              0.0017834
                      9,                 1.3323,                 1.1268,                 1.3422,                0.26634,                0.20833,                0.14651,                0.07696,                 2.0158,                 2.6652,                 1.8258,              0.0017525,              0.0017525,              0.0017525
                     10,                 1.3109,                 1.0795,                 1.3305,                0.58448,                0.35307,                0.35903,                0.18557,                 1.9716,                 2.0168,                  1.879,              0.0017216,              0.0017216,              0.0017216
                     11,                  1.297,                 1.0602,                 1.3148,                0.68167,                0.59641,                0.61533,                0.32727,                 1.6948,                 1.3188,                 1.6196,              0.0016906,              0.0016906,              0.0016906
                     12,                 1.2855,                 1.0283,                 1.3205,                0.62985,                0.61404,                0.66548,                0.36282,                 1.5568,                 1.3476,                 1.5141,              0.0016597,              0.0016597,              0.0016597
                     13,                 1.2391,                0.99194,                 1.2818,                0.40036,                0.26096,                0.26244,                0.11257,                 2.0601,                 2.5798,                 2.0949,              0.0016287,              0.0016287,              0.0016287
                     14,                 1.2068,                 0.9481,                 1.2739,                0.73568,                  0.625,                0.70612,                0.39268,                 1.5646,                  1.276,                 1.5858,              0.0015978,              0.0015978,              0.0015978
                     15,                 1.1942,                0.93298,                 1.2589,                0.66667,                0.67105,                0.69754,                0.38136,                 1.5984,                 1.2379,                 1.5046,              0.0015669,              0.0015669,              0.0015669
                     16,                  1.198,                0.91703,                 1.2483,                0.59715,                0.48246,                0.50945,                0.23045,                 1.9421,                 1.6435,                 1.7949,              0.0015359,              0.0015359,              0.0015359
