patient_id,segment_1_precision_B,segment_1_recall_B,segment_1_mAP50_B,segment_1_mAP50-95_B,segment_1_precision_M,segment_1_recall_M,segment_1_mAP50_M,segment_1_mAP50-95_M,segment_1_fitness,segment_2_precision_B,segment_2_recall_B,segment_2_mAP50_B,segment_2_mAP50-95_B,segment_2_precision_M,segment_2_recall_M,segment_2_mAP50_M,segment_2_mAP50-95_M,segment_2_fitness,segment_3_precision_B,segment_3_recall_B,segment_3_mAP50_B,segment_3_mAP50-95_B,segment_3_precision_M,segment_3_recall_M,segment_3_mAP50_M,segment_3_mAP50-95_M,segment_3_fitness,segment_4_precision_B,segment_4_recall_B,segment_4_mAP50_B,segment_4_mAP50-95_B,segment_4_precision_M,segment_4_recall_M,segment_4_mAP50_M,segment_4_mAP50-95_M,segment_4_fitness,segment_5_precision_B,segment_5_recall_B,segment_5_mAP50_B,segment_5_mAP50-95_B,segment_5_precision_M,segment_5_recall_M,segment_5_mAP50_M,segment_5_mAP50-95_M,segment_5_fitness
Overall,0.6561902761459351,0.6561902761459351,0.6561902761459351,0.6561902761459351,0.6561902761459351,0.6561902761459351,0.6561902761459351,0.6561902761459351,0.6163809407012572,0.7420531,0.7420531,0.7420531,0.7420531,0.7420531,0.7420531,0.7420531,0.7420531,0.726709140194912,0.7816776,0.7816776,0.7816776,0.7816776,0.7816776,0.7816776,0.7816776,0.7816776,0.7770178665720615,0.7679967284202576,0.7679967284202576,0.7679967284202576,0.7679967284202576,0.7679967284202576,0.7679967284202576,0.7679967284202576,0.7679967284202576,0.7491205674536628,0.6409889,0.6409889,0.6409889,0.6409889,0.6409889,0.6409889,0.6409889,0.6409889,0.6175087911729198
128,0.6437028646469116,0.6437028646469116,0.6437028646469116,0.6437028646469116,0.6437028646469116,0.6437028646469116,0.6437028646469116,0.6437028646469116,0.6437028216965058,0.5524877,0.5524877,0.5524877,0.5524877,0.5524877,0.5524877,0.5524877,0.5524877,0.5586214284686482,0.58355296,0.58355296,0.58355296,0.58355296,0.58355296,0.58355296,0.58355296,0.58355296,0.5835530030376771,0.6952176094055176,0.6952176094055176,0.6952176094055176,0.6952176094055176,0.6952176094055176,0.6952176094055176,0.6952176094055176,0.6952176094055176,0.6952176181709065,0.6353387,0.6353387,0.6353387,0.6353387,0.6353387,0.6353387,0.6353387,0.6353387,0.5153074387241813
137,0.662941038608551,0.662941038608551,0.662941038608551,0.662941038608551,0.662941038608551,0.662941038608551,0.662941038608551,0.662941038608551,0.6355497978982472,0.9030027,0.9030027,0.9030027,0.9030027,0.9030027,0.9030027,0.9030027,0.9030027,0.903002801395598,0.92709243,0.92709243,0.92709243,0.92709243,0.92709243,0.92709243,0.92709243,0.92709243,0.9270924180746078,0.8926941156387329,0.8926941156387329,0.8926941156387329,0.8926941156387329,0.8926941156387329,0.8926941156387329,0.8926941156387329,0.8926941156387329,0.8926940872555688,0.49745065,0.49745065,0.49745065,0.49745065,0.49745065,0.49745065,0.49745065,0.49745065,0.4713011905550957
141,0.8831113576889038,0.8831113576889038,0.8831113576889038,0.8831113576889038,0.8831113576889038,0.8831113576889038,0.8831113576889038,0.8831113576889038,0.8831113763153553,0.91168094,0.91168094,0.91168094,0.91168094,0.91168094,0.91168094,0.91168094,0.91168094,0.9116808851559957,0.92355484,0.92355484,0.92355484,0.92355484,0.92355484,0.92355484,0.92355484,0.92355484,0.9235548456509908,0.8684861660003662,0.8684861660003662,0.8684861660003662,0.8684861660003662,0.8684861660003662,0.8684861660003662,0.8684861660003662,0.8684861660003662,0.868486205736796,0.7833783,0.7833783,0.7833783,0.7833783,0.7833783,0.7833783,0.7833783,0.7833783,0.783378255367279
151,0.5362987518310547,0.5362987518310547,0.5362987518310547,0.5362987518310547,0.5362987518310547,0.5362987518310547,0.5362987518310547,0.5362987518310547,0.5119421113105047,0.3029702,0.3029702,0.3029702,0.3029702,0.3029702,0.3029702,0.3029702,0.3029702,0.32305499485560824,0.4718179,0.4718179,0.4718179,0.4718179,0.4718179,0.4718179,0.4718179,0.4718179,0.4165111652442387,0.4684064984321594,0.4684064984321594,0.4684064984321594,0.4684064984321594,0.4684064984321594,0.4684064984321594,0.4684064984321594,0.4684064984321594,0.4684064530190967,0.48029172,0.48029172,0.48029172,0.48029172,0.48029172,0.48029172,0.48029172,0.48029172,0.4032707870006561
153,0.5590054392814636,0.5590054392814636,0.5590054392814636,0.5590054392814636,0.5590054392814636,0.5590054392814636,0.5590054392814636,0.5590054392814636,0.5474649389584859,0.8706751,0.8706751,0.8706751,0.8706751,0.8706751,0.8706751,0.8706751,0.8706751,0.8706751068433126,0.9055223,0.9055223,0.9055223,0.9055223,0.9055223,0.9055223,0.9055223,0.9055223,0.905522210257394,0.71073317527771,0.71073317527771,0.71073317527771,0.71073317527771,0.71073317527771,0.71073317527771,0.71073317527771,0.71073317527771,0.7107332110404968,0.50915116,0.50915116,0.50915116,0.50915116,0.50915116,0.50915116,0.50915116,0.50915116,0.5252369067498616
157,0.7670482397079468,0.7670482397079468,0.7670482397079468,0.7670482397079468,0.7670482397079468,0.7670482397079468,0.7670482397079468,0.7670482397079468,0.7670483135658762,0.819231,0.819231,0.819231,0.819231,0.819231,0.819231,0.819231,0.819231,0.8192309963962306,0.90333134,0.90333134,0.90333134,0.90333134,0.90333134,0.90333134,0.90333134,0.90333134,0.9033313341762709,0.8298629522323608,0.8298629522323608,0.8298629522323608,0.8298629522323608,0.8298629522323608,0.8298629522323608,0.8298629522323608,0.8298629522323608,0.8298628965149755,0.8266989,0.8266989,0.8266989,0.8266989,0.8266989,0.8266989,0.8266989,0.8266989,0.8266988409602124
159,0.4296930432319641,0.4296930432319641,0.4296930432319641,0.4296930432319641,0.4296930432319641,0.4296930432319641,0.4296930432319641,0.4296930432319641,0.42969300150871276,0.44993454,0.44993454,0.44993454,0.44993454,0.44993454,0.44993454,0.44993454,0.44993454,0.4499345362186432,0.67667615,0.67667615,0.67667615,0.67667615,0.67667615,0.67667615,0.67667615,0.67667615,0.6766761839389801,0.5235605239868164,0.5235605239868164,0.5235605239868164,0.5235605239868164,0.5235605239868164,0.5235605239868164,0.5235605239868164,0.5235605239868164,0.5235605478286743,0.5308229,0.5308229,0.5308229,0.5308229,0.5308229,0.5308229,0.5308229,0.5308229,0.5308229029178619
161,0.8447439670562744,0.8447439670562744,0.8447439670562744,0.8447439670562744,0.8447439670562744,0.8447439670562744,0.8447439670562744,0.8447439670562744,0.8447439471880595,0.8816264,0.8816264,0.8816264,0.8816264,0.8816264,0.8816264,0.8816264,0.8816264,0.8816264470418295,0.8293234,0.8293234,0.8293234,0.8293234,0.8293234,0.8293234,0.8293234,0.8293234,0.8293234407901764,0.8673059344291687,0.8673059344291687,0.8673059344291687,0.8673059344291687,0.8673059344291687,0.8673059344291687,0.8673059344291687,0.8673059344291687,0.8673058946927389,0.87712836,0.87712836,0.87712836,0.87712836,0.87712836,0.87712836,0.87712836,0.87712836,0.8771283328533173
169,0.7730435729026794,0.7730435729026794,0.7730435729026794,0.7730435729026794,0.7730435729026794,0.7730435729026794,0.7730435729026794,0.7730435729026794,0.7730435570081075,0.90667325,0.90667325,0.90667325,0.90667325,0.90667325,0.90667325,0.90667325,0.90667325,0.9066732227802277,0.9166081,0.9166081,0.9166081,0.9166081,0.9166081,0.9166081,0.9166081,0.9166081,0.9166080753008524,0.848145604133606,0.848145604133606,0.848145604133606,0.848145604133606,0.848145604133606,0.848145604133606,0.848145604133606,0.848145604133606,0.8481456977980477,0.7075334,0.7075334,0.7075334,0.7075334,0.7075334,0.7075334,0.7075334,0.7075334,0.7075334170034954
183,0.7134689688682556,0.7134689688682556,0.7134689688682556,0.7134689688682556,0.7134689688682556,0.7134689688682556,0.7134689688682556,0.7134689688682556,0.703032599254088,0.93030906,0.93030906,0.93030906,0.93030906,0.93030906,0.93030906,0.93030906,0.93030906,0.9303090669387994,0.92008096,0.92008096,0.92008096,0.92008096,0.92008096,0.92008096,0.92008096,0.92008096,0.9200809098953424,0.904119074344635,0.904119074344635,0.904119074344635,0.904119074344635,0.904119074344635,0.904119074344635,0.904119074344635,0.904119074344635,0.9041191824646884,0.80336183,0.80336183,0.80336183,0.80336183,0.80336183,0.80336183,0.80336183,0.80336183,0.8033618497294049
188,0.7435770034790039,0.7435770034790039,0.7435770034790039,0.7435770034790039,0.7435770034790039,0.7435770034790039,0.7435770034790039,0.7435770034790039,0.6799547170337877,0.8906683,0.8906683,0.8906683,0.8906683,0.8906683,0.8906683,0.8906683,0.8906683,0.8906681976820293,0.8465255,0.8465255,0.8465255,0.8465255,0.8465255,0.8465255,0.8465255,0.8465255,0.8465254902839661,0.8799787759780884,0.8799787759780884,0.8799787759780884,0.8799787759780884,0.8799787759780884,0.8799787759780884,0.8799787759780884,0.8799787759780884,0.8799788010747809,0.53718066,0.53718066,0.53718066,0.53718066,0.53718066,0.53718066,0.53718066,0.53718066,0.5135894384649065
190,0.9079568982124329,0.9079568982124329,0.9079568982124329,0.9079568982124329,0.9079568982124329,0.9079568982124329,0.9079568982124329,0.9079568982124329,0.9079569385897729,0.85188186,0.85188186,0.85188186,0.85188186,0.85188186,0.85188186,0.85188186,0.85188186,0.8518818477789561,0.7155068,0.7155068,0.7155068,0.7155068,0.7155068,0.7155068,0.7155068,0.7155068,0.7155067949525772,0.6961184144020081,0.6961184144020081,0.6961184144020081,0.6961184144020081,0.6961184144020081,0.6961184144020081,0.6961184144020081,0.6961184144020081,0.6961184332768122,0.38963562,0.38963562,0.38963562,0.38963562,0.38963562,0.38963562,0.38963562,0.38963562,0.36940318445364634
194,0.6505235433578491,0.6505235433578491,0.6505235433578491,0.6505235433578491,0.6505235433578491,0.6505235433578491,0.6505235433578491,0.6505235433578491,0.6505235499805875,0.91477656,0.91477656,0.91477656,0.91477656,0.91477656,0.91477656,0.91477656,0.91477656,0.9147766298717923,0.92219543,0.92219543,0.92219543,0.92219543,0.92219543,0.92219543,0.92219543,0.92219543,0.9221954047679901,0.9065517783164978,0.9065517783164978,0.9065517783164978,0.9065517783164978,0.9065517783164978,0.9065517783164978,0.9065517783164978,0.9065517783164978,0.9065517915619744,0.7977941,0.7977941,0.7977941,0.7977941,0.7977941,0.7977941,0.7977941,0.7977941,0.7977940903769599
27,0.6347727179527283,0.6347727179527283,0.6347727179527283,0.6347727179527283,0.6347727179527283,0.6347727179527283,0.6347727179527283,0.6347727179527283,0.6730308582385381,0.80735964,0.80735964,0.80735964,0.80735964,0.80735964,0.80735964,0.80735964,0.80735964,0.8073596258958181,0.8702777,0.8702777,0.8702777,0.8702777,0.8702777,0.8702777,0.8702777,0.8702777,0.8702776432037354,0.8727819323539734,0.8727819323539734,0.8727819323539734,0.8727819323539734,0.8727819323539734,0.8727819323539734,0.8727819323539734,0.8727819323539734,0.8727819522221884,0.60838187,0.60838187,0.60838187,0.60838187,0.60838187,0.60838187,0.60838187,0.60838187,0.6083818674087524
34,0.7010561227798462,0.7010561227798462,0.7010561227798462,0.7010561227798462,0.7010561227798462,0.7010561227798462,0.7010561227798462,0.7010561227798462,0.7010561409923766,0.9047987,0.9047987,0.9047987,0.9047987,0.9047987,0.9047987,0.9047987,0.9047987,0.9047986794920528,0.8178308,0.8178308,0.8178308,0.8178308,0.8178308,0.8178308,0.8178308,0.8178308,0.8178308291567696,0.8281021118164062,0.8281021118164062,0.8281021118164062,0.8281021118164062,0.8281021118164062,0.8281021118164062,0.8281021118164062,0.8281021118164062,0.8281021048040951,0.79185,0.79185,0.79185,0.79185,0.79185,0.79185,0.79185,0.79185,0.7609518556033864
39,0.5317784547805786,0.5317784547805786,0.5317784547805786,0.5317784547805786,0.5317784547805786,0.5317784547805786,0.5317784547805786,0.5317784547805786,0.39512841403484344,0.762624,0.762624,0.762624,0.762624,0.762624,0.762624,0.762624,0.762624,0.762624092400074,0.7609393,0.7609393,0.7609393,0.7609393,0.7609393,0.7609393,0.7609393,0.7609393,0.7609392901261648,0.6704696416854858,0.6704696416854858,0.6704696416854858,0.6704696416854858,0.6704696416854858,0.6704696416854858,0.6704696416854858,0.6704696416854858,0.6242824867367744,0.54142666,0.54142666,0.54142666,0.54142666,0.54142666,0.54142666,0.54142666,0.54142666,0.5045101220409075
48,0.28352758288383484,0.28352758288383484,0.28352758288383484,0.28352758288383484,0.28352758288383484,0.28352758288383484,0.28352758288383484,0.28352758288383484,0.27896772750786375,0.38216862,0.38216862,0.38216862,0.38216862,0.38216862,0.38216862,0.38216862,0.38216862,0.3215673289128712,0.709826,0.709826,0.709826,0.709826,0.709826,0.709826,0.709826,0.709826,0.7098259776830673,0.6300730109214783,0.6300730109214783,0.6300730109214783,0.6300730109214783,0.6300730109214783,0.6300730109214783,0.6300730109214783,0.6300730109214783,0.6300730066640037,0.6416478,0.6416478,0.6416478,0.6416478,0.6416478,0.6416478,0.6416478,0.6416478,0.6416478093181338
49,0.6081896424293518,0.6081896424293518,0.6081896424293518,0.6081896424293518,0.6081896424293518,0.6081896424293518,0.6081896424293518,0.6081896424293518,0.5438302616278331,0.807205,0.807205,0.807205,0.807205,0.807205,0.807205,0.807205,0.807205,0.8072050000940051,0.8732486,0.8732486,0.8732486,0.8732486,0.8732486,0.8732486,0.8732486,0.8732486,0.8732485217707497,0.8781943917274475,0.8781943917274475,0.8781943917274475,0.8781943917274475,0.8781943917274475,0.8781943917274475,0.8781943917274475,0.8781943917274475,0.878194408757346,0.6775651,0.6775651,0.6775651,0.6775651,0.6775651,0.6775651,0.6775651,0.6775651,0.6007338166236877
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.31901901960372925,0.5883312,0.5883312,0.5883312,0.5883312,0.5883312,0.5883312,0.5883312,0.5883312,0.44233080744743347,0.4434156,0.4434156,0.4434156,0.4434156,0.4434156,0.4434156,0.4434156,0.4434156,0.4060976815720399,0.7040911912918091,0.7040911912918091,0.7040911912918091,0.7040911912918091,0.7040911912918091,0.7040911912918091,0.7040911912918091,0.7040911912918091,0.6464148461818695,0.46026146,0.46026146,0.46026146,0.46026146,0.46026146,0.46026146,0.46026146,0.46026146,0.4279947727918625
55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.42406466603279114,0.47234103,0.47234103,0.47234103,0.47234103,0.47234103,0.47234103,0.47234103,0.47234103,0.44022388756275177,0.903113,0.903113,0.903113,0.903113,0.903113,0.903113,0.903113,0.903113,0.9031129740178585,0.9044457674026489,0.9044457674026489,0.9044457674026489,0.9044457674026489,0.9044457674026489,0.9044457674026489,0.9044457674026489,0.9044457674026489,0.9044458158314228,0.5455993,0.5455993,0.5455993,0.5455993,0.5455993,0.5455993,0.5455993,0.5455993,0.501306938007474
69,0.7699125409126282,0.7699125409126282,0.7699125409126282,0.7699125409126282,0.7699125409126282,0.7699125409126282,0.7699125409126282,0.7699125409126282,0.7111579142510891,0.79407096,0.79407096,0.79407096,0.79407096,0.79407096,0.79407096,0.79407096,0.79407096,0.7940710112452507,0.6494466,0.6494466,0.6494466,0.6494466,0.6494466,0.6494466,0.6494466,0.6494466,0.569423720240593,0.6823488473892212,0.6823488473892212,0.6823488473892212,0.6823488473892212,0.6823488473892212,0.6823488473892212,0.6823488473892212,0.6823488473892212,0.6823488306254148,0.7254557,0.7254557,0.7254557,0.7254557,0.7254557,0.7254557,0.7254557,0.7254557,0.7254556854565938
75,0.30722469091415405,0.30722469091415405,0.30722469091415405,0.30722469091415405,0.30722469091415405,0.30722469091415405,0.30722469091415405,0.30722469091415405,0.3312706980440352,0.6604909,0.6604909,0.6604909,0.6604909,0.6604909,0.6604909,0.6604909,0.6604909,0.6176743590169482,0.5991079,0.5991079,0.5991079,0.5991079,0.5991079,0.5991079,0.5991079,0.5991079,0.599107853240437,0.5682970285415649,0.5682970285415649,0.5682970285415649,0.5682970285415649,0.5682970285415649,0.5682970285415649,0.5682970285415649,0.5682970285415649,0.5691043966346316,0.44711554,0.44711554,0.44711554,0.44711554,0.44711554,0.44711554,0.44711554,0.44711554,0.3918752455049091
78,0.48803257942199707,0.48803257942199707,0.48803257942199707,0.48803257942199707,0.48803257942199707,0.48803257942199707,0.48803257942199707,0.48803257942199707,0.4775054244434132,0.60655326,0.60655326,0.60655326,0.60655326,0.60655326,0.60655326,0.60655326,0.60655326,0.48522070926778454,0.6324327,0.6324327,0.6324327,0.6324327,0.6324327,0.6324327,0.6324327,0.6324327,0.6324326675385237,0.5995565056800842,0.5995565056800842,0.5995565056800842,0.5995565056800842,0.5995565056800842,0.5995565056800842,0.5995565056800842,0.5995565056800842,0.5774412102559033,0.49905613,0.49905613,0.49905613,0.49905613,0.49905613,0.49905613,0.49905613,0.49905613,0.4531930722296238
83,0.9064838886260986,0.9064838886260986,0.9064838886260986,0.9064838886260986,0.9064838886260986,0.9064838886260986,0.9064838886260986,0.9064838886260986,0.9064837963350357,0.9248769,0.9248769,0.9248769,0.9248769,0.9248769,0.9248769,0.9248769,0.9248769,0.9248769442240398,0.9048416,0.9048416,0.9048416,0.9048416,0.9048416,0.9048416,0.9048416,0.9048416,0.9048416114622547,0.9254249334335327,0.9254249334335327,0.9254249334335327,0.9254249334335327,0.9254249334335327,0.9254249334335327,0.9254249334335327,0.9254249334335327,0.9254249473412831,0.8853777,0.8853777,0.8853777,0.8853777,0.8853777,0.8853777,0.8853777,0.8853777,0.8853776534398397
87,0.4998922348022461,0.4998922348022461,0.4998922348022461,0.4998922348022461,0.4998922348022461,0.4998922348022461,0.4998922348022461,0.4998922348022461,0.4686691899384771,0.46517152,0.46517152,0.46517152,0.46517152,0.46517152,0.46517152,0.46517152,0.46517152,0.44229989285979954,0.42890397,0.42890397,0.42890397,0.42890397,0.42890397,0.42890397,0.42890397,0.42890397,0.4617577658759223,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3181954324245453,0.38922787,0.38922787,0.38922787,0.38922787,0.38922787,0.38922787,0.38922787,0.38922787,0.35609436476672135
8,0.649584174156189,0.649584174156189,0.649584174156189,0.649584174156189,0.649584174156189,0.649584174156189,0.649584174156189,0.649584174156189,0.6495841877026991,0.7152867,0.7152867,0.7152867,0.7152867,0.7152867,0.7152867,0.7152867,0.7152867,0.6544874638319016,0.89135545,0.89135545,0.89135545,0.89135545,0.89135545,0.89135545,0.89135545,0.89135545,0.891355427828702,0.8839243054389954,0.8839243054389954,0.8839243054389954,0.8839243054389954,0.8839243054389954,0.8839243054389954,0.8839243054389954,0.8839243054389954,0.8839242935180665,0.77961785,0.77961785,0.77961785,0.77961785,0.77961785,0.77961785,0.77961785,0.77961785,0.7665970921516418
