                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.3914,                 2.2948,                 2.2767,                 1.3668,                0.65605,                 0.6213,                0.62375,                0.37031,                0.65401,                 0.6148,                0.61676,                0.35946,                 1.3288,                 2.0323,                 2.0228,                 1.4191,              0.0033281,              0.0033281,              0.0033281
                      2,                 1.2629,                 1.9292,                 1.3346,                 1.2303,                0.74221,                0.57256,                0.63581,                0.34298,                0.75548,                0.58051,                0.64118,                0.35361,                 1.6431,                 2.1654,                 1.7038,                 1.6205,              0.0065584,              0.0065584,              0.0065584
                      3,                 1.2902,                 1.9404,                 1.1345,                  1.258,                0.67878,                0.57545,                0.63277,                0.37295,                0.67495,                0.57545,                0.63837,                0.36238,                 1.5131,                 2.5016,                 1.5169,                 1.5096,              0.0096855,              0.0096855,              0.0096855
                      4,                 1.3091,                 1.9641,                 1.0734,                  1.283,                0.68349,                0.55897,                0.60199,                0.33058,                0.70167,                0.53918,                0.58851,                0.31055,                 1.7153,                 2.8579,                 1.5336,                 1.6277,              0.0095359,              0.0095359,              0.0095359
                      5,                 1.2296,                 1.8334,                 0.9372,                 1.2314,                0.70056,                0.56504,                 0.5995,                0.34272,                0.69418,                 0.5787,                0.60783,                0.34219,                 1.6994,                 2.5617,                 1.4715,                 1.6585,              0.0093813,              0.0093813,              0.0093813
                      6,                 1.1665,                 1.7566,                0.84534,                 1.1914,                0.64335,                0.61372,                0.62237,                0.38301,                0.65043,                0.61661,                0.62527,                0.38142,                 1.4893,                 2.1489,                 1.4334,                 1.4786,              0.0092266,              0.0092266,              0.0092266
                      7,                 1.1207,                 1.7041,                0.78077,                 1.1641,                 0.6303,                0.53177,                0.54747,                0.30628,                0.62881,                0.54729,                0.55662,                0.32018,                 1.6785,                 2.2372,                 1.7368,                 1.6623,              0.0090719,              0.0090719,              0.0090719
                      8,                 1.0842,                  1.639,                0.73712,                 1.1425,                0.73928,                0.63261,                0.68002,                0.41061,                0.75286,                0.63896,                0.69385,                0.41427,                 1.5785,                 2.1744,                  1.286,                 1.5495,              0.0089172,              0.0089172,              0.0089172
                      9,                 1.0398,                 1.5743,                0.69178,                 1.1203,                0.68578,                0.65343,                0.68619,                0.41642,                0.69326,                0.65812,                0.69067,                0.42096,                 1.5289,                 2.1167,                 1.2755,                 1.5258,              0.0087625,              0.0087625,              0.0087625
                     10,                 1.0067,                  1.533,                0.64905,                 1.0977,                0.70027,                0.66101,                0.68172,                0.39358,                0.70223,                0.66029,                0.68381,                0.40002,                 1.6401,                  2.315,                 1.2966,                 1.6233,              0.0086078,              0.0086078,              0.0086078
                     11,                0.98326,                 1.5011,                0.62754,                 1.0851,                0.70081,                0.62913,                0.67354,                0.42055,                0.71286,                0.63813,                0.68272,                0.42714,                 1.5759,                 2.2188,                 1.3755,                  1.537,              0.0084531,              0.0084531,              0.0084531
                     12,                0.96309,                 1.4788,                0.60189,                 1.0754,                0.70441,                0.63319,                0.64726,                0.38689,                0.71684,                0.63608,                 0.6574,                0.39263,                 1.6648,                 2.4095,                 1.3847,                 1.6048,              0.0082984,              0.0082984,              0.0082984
                     13,                0.93159,                  1.432,                 0.5745,                 1.0577,                0.64171,                0.55451,                0.56218,                 0.3251,                0.67143,                0.57148,                0.59628,                0.33356,                 1.7794,                 2.3644,                  1.538,                 1.6903,              0.0081437,              0.0081437,              0.0081437
                     14,                0.91887,                 1.4199,                0.56375,                 1.0507,                0.70238,                0.62877,                0.65346,                0.39314,                0.71091,                0.63121,                0.65309,                0.39395,                 1.5728,                 2.2785,                 1.3903,                 1.5632,              0.0079891,              0.0079891,              0.0079891
