                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.6727,                 3.0051,                 2.6474,                 1.5751,                0.58181,                0.35086,                0.43964,                0.19674,                0.55954,                0.33333,                0.42304,                0.18549,                 1.7022,                 3.8308,                 2.9432,                 1.6023,             0.00065686,             0.00065686,             0.00065686
                      2,                 1.5526,                  2.452,                 1.8856,                  1.459,                0.47539,                0.46272,                0.42004,                0.19375,                0.46412,                0.45175,                0.40168,                0.15738,                  1.766,                 4.2845,                 2.3121,                 1.8574,              0.0013031,              0.0013031,              0.0013031
                      3,                  1.519,                 2.4398,                 1.6509,                 1.4493,                0.49162,                0.55702,                0.47992,                0.23373,                0.49162,                0.55702,                0.48003,                0.21751,                 1.6205,                 3.4143,                 1.9827,                  1.674,              0.0019286,              0.0019286,              0.0019286
                      4,                 1.5102,                 2.4193,                 1.5015,                 1.4378,                0.29682,                0.21711,                0.16139,                0.05162,                 0.2477,                0.17763,                 0.1149,                0.03275,                 2.0753,                 4.7435,                 3.3239,                 2.2849,              0.0019072,              0.0019072,              0.0019072
                      5,                 1.4586,                 2.2699,                 1.3426,                 1.4043,                0.67945,                0.63683,                0.68199,                0.36364,                0.67058,                0.63377,                0.66742,                0.34455,                 1.6317,                 2.9103,                 1.4114,                 1.5622,              0.0018763,              0.0018763,              0.0018763
                      6,                 1.4252,                 2.2193,                 1.2452,                 1.3735,                0.53329,                0.62395,                0.57558,                0.28797,                0.51328,                0.61623,                0.56822,                0.25864,                 1.7335,                 2.7985,                 1.6564,                 1.6718,              0.0018453,              0.0018453,              0.0018453
                      7,                 1.3535,                 2.1179,                 1.1431,                 1.3298,                0.66274,                 0.6557,                0.64454,                0.34547,                0.65709,                  0.625,                0.62559,                0.31546,                 1.6058,                 3.0647,                 1.4054,                 1.5349,              0.0018144,              0.0018144,              0.0018144
                      8,                 1.3746,                 2.1496,                   1.16,                 1.3416,                0.56432,                0.41886,                0.45315,                0.21803,                 0.5012,                0.41009,                0.40314,                0.17484,                 1.8815,                 3.6646,                 2.3507,                 1.8911,              0.0017834,              0.0017834,              0.0017834
                      9,                  1.328,                 2.0603,                 1.0592,                 1.3061,                0.57429,                0.49404,                0.53521,                0.25983,                0.57764,                0.50688,                0.54478,                0.26098,                 1.8049,                 2.8772,                 1.6783,                 1.6343,              0.0017525,              0.0017525,              0.0017525
                     10,                 1.3048,                 2.0438,                 1.0547,                 1.2864,                0.67574,                0.65351,                0.70701,                0.38682,                 0.6522,                0.66228,                0.69317,                 0.3611,                 1.5845,                 2.9189,                 1.2831,                 1.4989,              0.0017216,              0.0017216,              0.0017216
                     11,                 1.2926,                 2.0446,                   1.02,                 1.2827,                0.71791,                0.66416,                0.72591,                0.42397,                 0.7084,                0.65351,                0.72095,                0.40253,                 1.4849,                 2.4518,                 1.2186,                 1.4528,              0.0016906,              0.0016906,              0.0016906
                     12,                 1.2494,                 1.9816,                0.96888,                 1.2644,                0.66536,                0.67586,                0.71103,                0.39285,                0.62575,                0.68933,                0.69014,                0.36528,                 1.5614,                 2.6748,                 1.3117,                 1.5446,              0.0016597,              0.0016597,              0.0016597
                     13,                 1.2375,                 1.9691,                0.93988,                 1.2554,                0.73396,                0.66886,                0.73648,                0.43227,                0.72201,                 0.6864,                0.73888,                0.42001,                 1.4365,                 2.4775,                 1.1863,                 1.4272,              0.0016287,              0.0016287,              0.0016287
                     14,                 1.2075,                  1.925,                0.94168,                 1.2514,                0.73421,                 0.6557,                0.72315,                0.39931,                0.73777,                0.66009,                0.72217,                0.38132,                 1.5152,                 2.7943,                 1.1949,                  1.487,              0.0015978,              0.0015978,              0.0015978
                     15,                 1.2148,                 1.9129,                0.91697,                 1.2453,                0.74724,                0.69369,                0.76578,                0.42903,                0.73054,                0.67778,                0.75312,                0.41726,                 1.5173,                 2.4537,                 1.0919,                 1.5033,              0.0015669,              0.0015669,              0.0015669
                     16,                  1.185,                  1.859,                0.88466,                 1.2252,                0.77553,                0.70175,                0.76172,                0.44446,                0.75842,                0.70395,                0.75676,                0.42476,                 1.4619,                 2.5147,                 1.0862,                 1.4756,              0.0015359,              0.0015359,              0.0015359
                     17,                 1.1751,                 1.8732,                0.87052,                 1.2105,                0.77808,                0.75439,                0.79935,                0.46178,                0.78793,                0.75658,                 0.8049,                0.43541,                 1.4744,                 2.4995,                 1.0543,                 1.4696,               0.001505,               0.001505,               0.001505
                     18,                 1.1364,                 1.8121,                  0.855,                 1.1861,                0.78405,                 0.7193,                0.77152,                0.44837,                0.77815,                0.71272,                0.76249,                0.43185,                 1.4815,                  2.478,                 1.0509,                 1.4819,              0.0014741,              0.0014741,              0.0014741
                     19,                 1.1486,                 1.8501,                0.82341,                 1.1961,                0.74737,                0.72368,                 0.7602,                0.44328,                0.74568,                 0.7193,                0.75302,                0.42635,                 1.4752,                 2.5323,                 1.1097,                 1.4833,              0.0014431,              0.0014431,              0.0014431
                     20,                 1.1365,                 1.7899,                0.80369,                  1.201,                 0.7767,                0.70395,                0.77553,                0.44939,                0.76583,                0.69569,                0.76832,                0.42441,                 1.4638,                 2.5571,                 1.0457,                 1.4649,              0.0014122,              0.0014122,              0.0014122
                     21,                 1.0998,                 1.7617,                0.78426,                 1.1666,                0.72867,                0.72368,                0.75999,                 0.4581,                0.72867,                0.72368,                0.75618,                0.43991,                  1.457,                 2.4292,                  1.047,                 1.4714,              0.0013813,              0.0013813,              0.0013813
                     22,                 1.1084,                 1.7843,                0.78808,                 1.1754,                0.75135,                0.74217,                0.77891,                0.44656,                0.74627,                 0.7353,                0.77469,                0.42359,                 1.5001,                  2.683,                 1.0574,                 1.5024,              0.0013503,              0.0013503,              0.0013503
                     23,                 1.0842,                 1.7524,                0.75293,                 1.1598,                0.75047,                0.72549,                0.76477,                0.43014,                 0.7355,                0.71272,                0.73509,                0.40008,                 1.5293,                 2.6809,                 1.0678,                  1.533,              0.0013194,              0.0013194,              0.0013194
                     24,                 1.0449,                 1.7223,                 0.7301,                 1.1347,                0.81109,                 0.7156,                0.79268,                0.46067,                0.80861,                0.71341,                0.79067,                0.45073,                 1.5115,                  2.456,                 1.0341,                  1.497,              0.0012884,              0.0012884,              0.0012884
                     25,                  1.046,                 1.7042,                0.71741,                 1.1303,                0.77495,                   0.75,                0.79323,                0.46237,                0.77948,                0.75439,                0.79235,                0.45032,                 1.4945,                 2.4194,                 1.0042,                 1.4928,              0.0012575,              0.0012575,              0.0012575
                     26,                 1.0299,                 1.6863,                0.69135,                 1.1189,                0.77913,                0.72715,                0.77933,                0.47851,                0.77208,                0.72058,                0.77567,                0.45826,                 1.4157,                 2.3933,                0.99654,                 1.4222,              0.0012266,              0.0012266,              0.0012266
                     27,                  1.015,                 1.6584,                0.70479,                 1.1147,                 0.7325,                0.62939,                0.67815,                0.39343,                 0.7274,                  0.625,                0.67444,                0.37989,                  1.539,                 2.6504,                 1.1733,                 1.5207,              0.0011956,              0.0011956,              0.0011956
                     28,                 1.0134,                 1.6244,                0.68854,                 1.1139,                 0.8271,                0.73684,                0.79322,                0.45989,                0.81691,                0.72807,                0.78871,                0.43985,                 1.4479,                 2.4739,                0.99288,                 1.4814,              0.0011647,              0.0011647,              0.0011647
                     29,                 1.0007,                 1.6314,                0.67312,                 1.1076,                0.83001,                0.73684,                 0.8053,                0.47891,                0.81766,                0.72588,                0.79857,                0.45785,                 1.4411,                 2.5323,                0.95349,                 1.4747,              0.0011337,              0.0011337,              0.0011337
                     30,                0.99773,                  1.628,                0.66407,                 1.0999,                0.74657,                0.75585,                0.77879,                0.45928,                0.73805,                0.74764,                0.77005,                 0.4367,                 1.5002,                 2.6248,                 1.0134,                 1.4939,              0.0011028,              0.0011028,              0.0011028
                     31,                0.97972,                 1.6348,                0.66268,                 1.0988,                0.75472,                0.73026,                 0.7527,                  0.451,                0.76152,                0.73684,                0.74646,                0.42857,                 1.5104,                 2.4185,                 1.0613,                 1.5125,              0.0010719,              0.0010719,              0.0010719
                     32,                0.94978,                 1.5795,                0.64021,                 1.0807,                 0.7864,                0.73684,                0.79206,                 0.4723,                0.77704,                0.72807,                0.78344,                 0.4502,                 1.4306,                 2.4906,                 0.9814,                 1.4727,              0.0010409,              0.0010409,              0.0010409
                     33,                0.93405,                 1.5475,                0.61932,                 1.0751,                0.80736,                0.75439,                0.79331,                0.47894,                0.80501,                0.75219,                0.78623,                0.46119,                 1.4553,                 2.4631,                0.91296,                 1.4884,                0.00101,                0.00101,                0.00101
                     34,                0.94084,                 1.5587,                0.62561,                 1.0698,                 0.8373,                0.72807,                0.79556,                0.47192,                0.84635,                0.73026,                0.79512,                0.45297,                 1.4451,                 2.5499,                0.92723,                 1.4873,             0.00097906,             0.00097906,             0.00097906
                     35,                0.94651,                 1.5721,                0.62407,                 1.0718,                0.82329,                0.70833,                 0.7908,                 0.4521,                0.82584,                0.71053,                0.78654,                0.43927,                 1.5104,                 2.4878,                0.98306,                 1.5065,             0.00094812,             0.00094812,             0.00094812
                     36,                0.91489,                  1.519,                0.59251,                 1.0584,                0.81501,                0.73246,                0.79709,                0.45962,                0.81427,                0.73026,                0.79546,                0.43971,                 1.4659,                 2.5289,                0.96894,                 1.5158,             0.00091719,             0.00091719,             0.00091719
                     37,                 0.9004,                 1.4995,                0.59207,                 1.0488,                0.80905,                0.64254,                0.73555,                0.43406,                0.82172,                0.65132,                0.74527,                0.41439,                 1.5172,                 2.5376,                  1.091,                 1.5419,             0.00088625,             0.00088625,             0.00088625
                     38,                0.89567,                 1.4694,                0.56712,                  1.045,                0.84355,                0.72126,                0.80431,                0.48051,                0.80046,                0.75657,                0.80256,                0.46574,                 1.4885,                 2.4683,                0.92847,                 1.5137,             0.00085531,             0.00085531,             0.00085531
                     39,                0.88062,                 1.4752,                0.57647,                 1.0386,                 0.7937,                0.77632,                0.79029,                0.48111,                0.78224,                0.79167,                0.79683,                0.46155,                 1.4354,                  2.494,                0.96171,                 1.5016,             0.00082438,             0.00082438,             0.00082438
                     40,                0.86036,                 1.4613,                0.55705,                 1.0256,                0.81073,                0.75149,                0.79748,                0.47938,                 0.7932,                0.76546,                0.79352,                0.46546,                 1.4557,                 2.5123,                0.93841,                 1.5041,             0.00079344,             0.00079344,             0.00079344
                     41,                0.84699,                 1.4272,                0.53287,                 1.0148,                0.83117,                0.73026,                0.79313,                0.47559,                0.83231,                0.74014,                0.78897,                0.45369,                 1.4479,                 2.5878,                0.95973,                 1.5028,              0.0007625,              0.0007625,              0.0007625
                     42,                0.85016,                 1.4232,                0.54753,                 1.0293,                0.82399,                 0.7193,                0.77069,                0.46438,                0.82148,                0.71711,                0.76596,                0.44554,                 1.4558,                 2.5194,                 1.0131,                 1.4894,             0.00073156,             0.00073156,             0.00073156
                     43,                 0.8351,                 1.4055,                0.52924,                 1.0119,                0.80796,                0.77412,                0.81375,                0.48225,                0.80338,                0.76974,                0.80854,                0.46367,                 1.4403,                 2.5599,                0.90626,                 1.4878,             0.00070063,             0.00070063,             0.00070063
                     44,                0.82438,                 1.4166,                0.52585,                 1.0125,                0.80675,                0.73026,                0.79745,                0.48094,                0.80685,                0.73026,                0.79918,                0.47089,                 1.4506,                 2.5661,                0.92182,                 1.4913,             0.00066969,             0.00066969,             0.00066969
                     45,                0.81532,                 1.3969,                0.52214,                 1.0086,                0.83189,                   0.75,                0.80928,                0.47739,                 0.8307,                0.75439,                0.80037,                 0.4635,                 1.4829,                 2.6254,                0.90928,                 1.5208,             0.00063875,             0.00063875,             0.00063875
                     46,                0.80418,                 1.3877,                0.49872,                 1.0047,                0.85269,                0.74893,                0.80308,                0.47911,                0.84769,                0.74454,                0.79815,                0.46203,                  1.479,                 2.5476,                0.95913,                 1.5206,             0.00060781,             0.00060781,             0.00060781
                     47,                0.78343,                 1.3594,                0.49344,                0.99205,                0.79645,                  0.798,                0.82115,                0.48954,                0.79628,                0.79716,                0.81879,                 0.4737,                 1.4632,                  2.547,                0.88855,                 1.4952,             0.00057688,             0.00057688,             0.00057688
                     48,                0.77756,                 1.3607,                0.49886,                0.98964,                0.82767,                0.74342,                0.80849,                  0.475,                0.83573,                0.74561,                0.81224,                0.46636,                 1.4698,                  2.499,                0.91342,                  1.525,             0.00054594,             0.00054594,             0.00054594
                     49,                0.78349,                  1.339,                0.48742,                0.98355,                0.81275,                0.75658,                0.80731,                0.47501,                  0.835,                0.74123,                0.80874,                0.46437,                 1.4896,                 2.6723,                0.91737,                 1.5681,               0.000515,               0.000515,               0.000515
                     50,                 0.7737,                 1.3375,                0.47412,                0.98508,                0.81526,                0.72584,                0.80474,                0.46453,                0.82868,                0.73026,                0.80981,                0.45323,                 1.5177,                 2.5859,                0.93564,                 1.5571,             0.00048406,             0.00048406,             0.00048406
                     51,                0.76675,                  1.337,                0.48951,                0.99082,                0.84878,                0.75877,                0.81089,                0.48171,                0.84552,                0.75617,                0.80989,                0.47024,                 1.4844,                 2.7342,                 0.9003,                 1.5381,             0.00045313,             0.00045313,             0.00045313
                     52,                0.76844,                 1.3155,                0.47304,                0.98874,                0.80342,                0.75288,                0.79323,                0.47871,                0.81362,                   0.75,                0.79824,                0.46016,                 1.4499,                 2.6277,                0.90515,                 1.5374,             0.00042219,             0.00042219,             0.00042219
                     53,                0.73258,                 1.3089,                0.46414,                 0.9717,                 0.7962,                0.79679,                0.81702,                0.49491,                0.78968,                0.79044,                0.80527,                0.47716,                 1.4541,                 2.6234,                0.87633,                 1.5146,             0.00039125,             0.00039125,             0.00039125
                     54,                0.71324,                 1.3026,                 0.4494,                0.95785,                0.85027,                0.72368,                0.78823,                0.45783,                0.84981,                0.73026,                0.78773,                0.44779,                  1.516,                 2.6271,                 0.9388,                  1.567,             0.00036031,             0.00036031,             0.00036031
                     55,                 0.6868,                 1.2773,                0.39871,                 0.9321,                0.85034,                0.72368,                0.78183,                0.45876,                0.78417,                0.76974,                0.77129,                0.43954,                 1.5132,                  2.705,                0.95825,                 1.5908,             0.00032938,             0.00032938,             0.00032938
                     56,                0.61288,                 1.1395,                0.33719,                0.89334,                0.84398,                0.78295,                0.82545,                0.49057,                0.83216,                0.77198,                0.81308,                0.47071,                 1.4676,                 2.7204,                0.88659,                 1.5497,             0.00029844,             0.00029844,             0.00029844
                     57,                0.58018,                 1.1033,                 0.3213,                0.88008,                0.78938,                0.76096,                0.79479,                0.47234,                0.79893,                0.76754,                0.80207,                0.45537,                 1.5523,                 2.8206,                0.95838,                  1.624,              0.0002675,              0.0002675,              0.0002675
                     58,                0.56444,                 1.0868,                0.31209,                 0.8798,                0.83134,                0.78289,                0.81856,                 0.4885,                0.82901,                 0.7807,                0.81377,                0.48236,                 1.4921,                 2.7542,                0.87755,                 1.6022,             0.00023656,             0.00023656,             0.00023656
                     59,                0.56604,                 1.0822,                0.31059,                0.87092,                0.82553,                 0.7807,                0.81964,                0.48768,                0.81731,                0.77507,                0.80532,                 0.4758,                 1.4849,                 2.7891,                0.87913,                 1.5874,             0.00020562,             0.00020562,             0.00020562
                     60,                  0.543,                 1.0681,                0.30565,                0.87017,                0.82816,                0.75877,                0.80158,                0.47357,                0.81842,                   0.75,                0.79143,                0.46143,                 1.5099,                 2.9198,                0.91141,                 1.6466,             0.00017469,             0.00017469,             0.00017469
                     61,                0.52819,                 1.0351,                0.29551,                0.86572,                 0.8449,                0.76316,                0.80903,                0.47827,                0.82829,                0.75658,                0.79719,                0.46965,                 1.5055,                 2.8521,                0.91974,                 1.6354,             0.00014375,             0.00014375,             0.00014375
                     62,                0.51361,                 1.0265,                0.29056,                0.86073,                0.79812,                0.79605,                0.80984,                0.48999,                0.78684,                0.78521,                 0.7989,                0.47826,                 1.4705,                 2.8624,                0.89553,                  1.603,             0.00011281,             0.00011281,             0.00011281
                     63,                0.49875,                 1.0258,                0.28319,                0.85252,                0.82225,                0.78728,                 0.8182,                0.49154,                0.81298,                 0.7807,                0.80372,                 0.4794,                 1.4777,                  2.903,                0.90595,                 1.6208,             8.1875e-05,             8.1875e-05,             8.1875e-05
                     64,                0.49556,                 1.0089,                0.27974,                0.84948,                0.84161,                0.76908,                0.80853,                0.48642,                0.82965,                0.75833,                0.79466,                0.47445,                 1.4777,                 2.9115,                0.90722,                 1.6151,             5.0937e-05,             5.0937e-05,             5.0937e-05
