                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     24,                0.77312,                 1.2182,                0.44521,                0.98844,                0.72168,                0.64011,                0.69528,                0.36656,                0.72849,                 0.6478,                0.70136,                0.37228,                 1.8642,                 2.6807,                 1.2651,                 1.6758,               0.007723,               0.007723,               0.007723
                     25,                 0.7598,                 1.1965,                0.44078,                0.98192,                0.77206,                0.65741,                0.71964,                0.39567,                0.77523,                0.67856,                0.73229,                0.40044,                 1.8384,                 2.7623,                 1.2853,                 1.6833,               0.007624,               0.007624,               0.007624
                     26,                0.74871,                 1.1918,                 0.4304,                0.97502,                0.73868,                 0.6869,                0.73237,                0.40105,                0.76134,                0.67607,                 0.7376,                0.39578,                 1.8035,                 2.7651,                 1.2356,                 1.6634,               0.007525,               0.007525,               0.007525
                     27,                0.74441,                 1.1768,                0.42832,                0.97631,                0.76109,                0.66634,                0.72015,                0.39415,                0.76566,                0.68533,                0.72899,                0.40028,                 1.8064,                 2.7807,                  1.197,                 1.6514,               0.007426,               0.007426,               0.007426
                     28,                 0.7386,                 1.1734,                0.42535,                0.97574,                0.71097,                0.63365,                0.67161,                0.37305,                0.71804,                0.64319,                0.67684,                0.37213,                 1.8232,                 2.7621,                 1.4096,                 1.6555,               0.007327,               0.007327,               0.007327
                     29,                  0.724,                 1.1535,                0.41501,                0.96707,                0.73747,                0.66072,                0.69069,                0.38066,                0.74828,                 0.6681,                0.69953,                0.38667,                 1.7974,                 2.6249,                 1.3247,                 1.6398,               0.007228,               0.007228,               0.007228
                     30,                0.71508,                 1.1397,                0.41206,                0.96472,                0.75281,                 0.6721,                0.72069,                0.40638,                 0.7623,                0.67948,                0.72628,                0.40567,                 1.7633,                 2.7233,                  1.256,                 1.6285,               0.007129,               0.007129,               0.007129
                     31,                0.71781,                  1.142,                0.40918,                0.96554,                0.71655,                0.67261,                0.69176,                0.38092,                0.72404,                0.67702,                0.69861,                0.38142,                 1.8276,                 2.8164,                 1.2777,                 1.7006,                0.00703,                0.00703,                0.00703
                     32,                0.71418,                 1.1378,                0.40688,                0.96269,                0.72496,                0.66133,                0.70202,                0.38927,                0.73994,                0.66841,                0.71323,                0.39192,                 1.8177,                 2.7462,                 1.2644,                 1.6756,               0.006931,               0.006931,               0.006931
                     33,                 0.6989,                 1.1236,                 0.3993,                0.95732,                0.72249,                0.63184,                0.68809,                0.37559,                0.73163,                0.63983,                0.69629,                0.37731,                 1.8424,                 2.7215,                  1.337,                 1.6717,               0.006832,               0.006832,               0.006832
                     34,                0.69488,                 1.1145,                0.39315,                0.95573,                0.74185,                0.68065,                0.71856,                0.39295,                0.74681,                0.69025,                0.72626,                0.39629,                 1.8415,                 2.7647,                 1.2721,                 1.6945,               0.006733,               0.006733,               0.006733
                     35,                0.68359,                  1.094,                0.38757,                0.95335,                0.73642,                0.64112,                0.69121,                0.37508,                0.74964,                0.65549,                0.69995,                0.37521,                 1.8607,                 2.9154,                 1.3255,                 1.7419,               0.006634,               0.006634,               0.006634
                     36,                0.68329,                 1.0924,                0.38732,                0.94985,                0.69724,                0.64036,                 0.6801,                0.37641,                 0.7019,                0.64411,                0.68204,                0.37981,                 1.8857,                 2.8553,                 1.4242,                 1.7301,               0.006535,               0.006535,               0.006535
                     37,                0.67968,                 1.0873,                0.38657,                0.94913,                0.71877,                0.67026,                0.70929,                0.39029,                0.74169,                0.66933,                0.71853,                0.39574,                 1.8596,                 2.8263,                 1.2932,                 1.7042,               0.006436,               0.006436,               0.006436
                     38,                0.67143,                  1.071,                0.38063,                0.94289,                0.70084,                0.68287,                0.70183,                0.38556,                0.71104,                 0.6924,                0.70223,                 0.3844,                 1.8795,                 2.9006,                 1.3846,                 1.7263,               0.006337,               0.006337,               0.006337
