                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                0.91511,                0.61176,                 1.0769,                0.80367,                0.75526,                0.81562,                0.46907,                  1.537,                0.97068,                 1.5134,             0.00094812,             0.00094812,             0.00094812
                     36,                 0.9333,                0.60963,                 1.0743,                0.84749,                    0.8,                0.84503,                0.49545,                 1.4802,                0.89343,                  1.463,             0.00091719,             0.00091719,             0.00091719
                     37,                0.90193,                0.59969,                 1.0628,                0.83528,                0.76316,                0.82655,                0.46128,                 1.5888,                0.99713,                 1.5726,             0.00088625,             0.00088625,             0.00088625
                     38,                 0.9085,                 0.5805,                 1.0578,                0.83562,                 0.7759,                0.83195,                 0.4909,                 1.4932,                0.89225,                 1.5001,             0.00085531,             0.00085531,             0.00085531
                     39,                0.90461,                0.57555,                 1.0616,                0.81964,                0.83714,                0.85768,                0.49908,                 1.4744,                0.81175,                 1.4704,             0.00082438,             0.00082438,             0.00082438
                     40,                0.88199,                 0.5609,                 1.0519,                0.86692,                0.76053,                0.84168,                0.47698,                 1.5498,                0.84702,                   1.55,             0.00079344,             0.00079344,             0.00079344
                     41,                0.87235,                0.55923,                 1.0516,                0.82321,                0.79651,                0.84373,                0.50406,                 1.4496,                0.82192,                 1.4924,              0.0007625,              0.0007625,              0.0007625
                     42,                0.85045,                0.55687,                 1.0367,                0.84399,                0.74029,                0.82198,                0.47928,                 1.5426,                0.91841,                 1.5645,             0.00073156,             0.00073156,             0.00073156
                     43,                0.83869,                0.54304,                 1.0315,                0.81047,                0.81023,                  0.849,                0.50206,                 1.4752,                0.86481,                 1.4709,             0.00070063,             0.00070063,             0.00070063
                     44,                0.85282,                0.54593,                 1.0333,                0.87204,                0.80706,                0.86492,                0.52172,                 1.4854,                0.81662,                 1.5129,             0.00066969,             0.00066969,             0.00066969
                     45,                0.83171,                0.53338,                 1.0312,                0.80726,                0.79211,                0.83648,                0.49201,                  1.475,                0.88455,                 1.5182,             0.00063875,             0.00063875,             0.00063875
                     46,                0.81732,                0.50658,                 1.0145,                0.80365,                0.69211,                0.79694,                 0.4727,                  1.544,                0.94064,                 1.5189,             0.00060781,             0.00060781,             0.00060781
