                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     40,                0.90311,                0.58554,                 1.0628,                0.81561,                0.80246,                0.83977,                0.51889,                 1.3842,                0.80401,                 1.4412,             0.00079344,             0.00079344,             0.00079344
                     41,                0.88997,                0.57418,                 1.0481,                 0.7995,                0.82965,                0.85117,                 0.4868,                 1.4184,                0.84164,                 1.5042,              0.0007625,              0.0007625,              0.0007625
                     42,                0.88145,                0.56481,                 1.0506,                0.78815,                0.77212,                0.84109,                0.48881,                 1.4297,                0.88987,                 1.5244,             0.00073156,             0.00073156,             0.00073156
                     43,                0.86844,                 0.5674,                 1.0504,                0.79079,                0.79204,                0.85708,                0.50016,                 1.4397,                0.79841,                 1.5247,             0.00070063,             0.00070063,             0.00070063
                     44,                 0.8854,                 0.5592,                 1.0519,                0.86581,                0.79646,                0.88091,                0.51919,                 1.3675,                0.76692,                 1.4475,             0.00066969,             0.00066969,             0.00066969
                     45,                0.85926,                0.53976,                  1.044,                0.79784,                0.76991,                0.82596,                0.47446,                 1.4759,                0.86571,                 1.5387,             0.00063875,             0.00063875,             0.00063875
                     46,                0.84386,                0.54219,                 1.0371,                  0.794,                0.83569,                0.87626,                0.52919,                 1.3267,                0.76333,                 1.4423,             0.00060781,             0.00060781,             0.00060781
                     47,                 0.8087,                0.51108,                 1.0141,                0.82439,                0.76855,                0.83808,                0.49843,                 1.4568,                0.84137,                 1.5494,             0.00057688,             0.00057688,             0.00057688
                     48,                0.82461,                 0.5298,                 1.0225,                0.83904,                0.77876,                0.82037,                0.47515,                 1.4794,                0.86522,                 1.5821,             0.00054594,             0.00054594,             0.00054594
                     49,                0.81409,                0.52459,                  1.023,                0.81689,                0.81637,                0.86113,                0.51861,                 1.3547,                0.77821,                 1.4475,               0.000515,               0.000515,               0.000515
                     50,                0.80294,                0.51222,                 1.0128,                0.81891,                0.81037,                0.85302,                0.50731,                 1.3517,                0.78729,                   1.46,             0.00048406,             0.00048406,             0.00048406
                     51,                0.80024,                0.49953,                 1.0111,                 0.8228,                0.76022,                0.84562,                0.50742,                 1.4032,                 0.8184,                 1.4735,             0.00045313,             0.00045313,             0.00045313
                     52,                0.78595,                0.49317,                 1.0083,                0.80734,                0.82965,                0.87039,                0.51936,                 1.4223,                0.77215,                 1.5277,             0.00042219,             0.00042219,             0.00042219
                     53,                0.76696,                0.48112,                0.99448,                0.82431,                0.77853,                0.85084,                0.50256,                 1.4278,                0.79627,                  1.525,             0.00039125,             0.00039125,             0.00039125
                     54,                0.76097,                0.48374,                 1.0018,                0.85259,                0.83628,                0.88002,                0.51676,                 1.3802,                0.71247,                 1.4844,             0.00036031,             0.00036031,             0.00036031
                     55,                0.71397,                0.42074,                0.95057,                0.85288,                0.82522,                0.88163,                0.52742,                 1.3919,                0.68265,                  1.531,             0.00032938,             0.00032938,             0.00032938
                     56,                0.65247,                0.36092,                 0.9289,                0.80665,                0.80302,                0.85372,                0.49155,                 1.4499,                0.80703,                 1.5463,             0.00029844,             0.00029844,             0.00029844
                     57,                0.62256,                0.34759,                0.91178,                 0.8463,                0.82522,                0.87987,                0.51198,                 1.4206,                0.74537,                 1.5387,              0.0002675,              0.0002675,              0.0002675
                     58,                0.60249,                0.34165,                0.90472,                0.85362,                0.81281,                0.87084,                0.51326,                 1.4269,                0.76079,                 1.5546,             0.00023656,             0.00023656,             0.00023656
                     59,                0.59603,                0.33471,                0.89865,                0.85552,                0.78319,                0.86395,                0.51461,                 1.4083,                0.75676,                 1.5334,             0.00020562,             0.00020562,             0.00020562
                     60,                0.58088,                0.32624,                0.89208,                0.83414,                0.80752,                0.86957,                0.51762,                 1.3986,                0.73874,                 1.5365,             0.00017469,             0.00017469,             0.00017469
                     61,                0.55008,                0.31603,                0.87787,                0.86039,                0.81807,                0.86922,                0.51402,                 1.4206,                0.73839,                 1.5568,             0.00014375,             0.00014375,             0.00014375
                     62,                0.55042,                0.30766,                0.88495,                0.85336,                0.79825,                0.85693,                0.50791,                 1.4191,                0.78408,                 1.5644,             0.00011281,             0.00011281,             0.00011281
                     63,                0.53169,                0.30561,                0.87725,                0.86739,                0.79592,                0.86588,                0.51991,                 1.3851,                0.74829,                  1.528,             8.1875e-05,             8.1875e-05,             8.1875e-05
                     64,                0.53741,                0.30138,                 0.8768,                0.83298,                0.82753,                0.86514,                0.51415,                 1.4146,                0.77231,                 1.5483,             5.0937e-05,             5.0937e-05,             5.0937e-05
