                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.7481,                 2.9848,                 1.6828,                0.54493,                0.02122,                0.09448,                0.03288,                  2.077,                 3.6172,                 2.0353,                0.00064,                0.00064,                0.00064
                      2,                 1.5761,                  2.059,                 1.5017,                0.38748,                0.45575,                0.35145,                0.13332,                 1.8454,                 2.9358,                  2.148,              0.0012799,              0.0012799,              0.0012799
                      3,                 1.5472,                  1.776,                 1.5157,                0.45704,                0.51106,                0.45137,                 0.2004,                 1.7227,                 2.3265,                 2.0556,              0.0018994,              0.0018994,              0.0018994
                      4,                 1.5143,                 1.5621,                 1.4643,                0.28191,                0.25221,                0.19338,                0.07836,                 1.9657,                  2.661,                 1.9458,              0.0019072,              0.0019072,              0.0019072
                      5,                 1.4428,                 1.4228,                 1.4284,                0.61466,                0.64581,                0.64373,                0.32741,                 1.5668,                 1.7988,                 1.6393,              0.0018763,              0.0018763,              0.0018763
                      6,                 1.4087,                  1.308,                 1.3934,                0.50093,                0.51074,                 0.4761,                0.21999,                 1.7461,                  2.055,                 1.6998,              0.0018453,              0.0018453,              0.0018453
                      7,                 1.4008,                 1.2694,                 1.3907,                0.56924,                0.57301,                0.54323,                0.26921,                 1.6632,                 1.7082,                 1.6523,              0.0018144,              0.0018144,              0.0018144
                      8,                 1.3632,                 1.2203,                 1.3677,                0.76145,                0.67088,                0.73942,                0.38011,                 1.6485,                 1.4111,                 1.6399,              0.0017834,              0.0017834,              0.0017834
                      9,                 1.3594,                 1.1851,                  1.368,                0.69445,                0.70575,                0.74679,                0.38689,                 1.5409,                 1.3298,                 1.5252,              0.0017525,              0.0017525,              0.0017525
                     10,                 1.3354,                 1.1357,                 1.3499,                0.72814,                0.61504,                0.71212,                0.35842,                 1.7135,                 1.4563,                 1.6389,              0.0017216,              0.0017216,              0.0017216
                     11,                 1.3044,                 1.0651,                 1.3221,                0.69657,                0.74336,                0.73359,                0.36681,                 1.5032,                 1.3081,                 1.5792,              0.0016906,              0.0016906,              0.0016906
                     12,                 1.2758,                  1.055,                 1.3032,                0.66043,                0.63496,                0.67843,                0.36497,                  1.529,                 1.3167,                  1.574,              0.0016597,              0.0016597,              0.0016597
                     13,                 1.2602,                0.99312,                 1.2891,                0.72305,                0.61803,                0.71662,                0.38884,                 1.6001,                 1.3536,                 1.5575,              0.0016287,              0.0016287,              0.0016287
                     14,                 1.2439,                0.98773,                 1.2803,                0.68482,                0.72106,                0.70067,                0.38572,                 1.4703,                 1.2554,                 1.5536,              0.0015978,              0.0015978,              0.0015978
                     15,                 1.2213,                 0.9537,                 1.2676,                0.75611,                0.73451,                0.76117,                0.42258,                 1.4548,                 1.1337,                 1.5022,              0.0015669,              0.0015669,              0.0015669
                     16,                 1.2232,                0.94733,                 1.2711,                0.68665,                0.71018,                0.75637,                0.43314,                 1.3997,                 1.1003,                 1.4571,              0.0015359,              0.0015359,              0.0015359
                     17,                 1.2168,                0.94184,                 1.2673,                0.73337,                0.70133,                0.74598,                0.43621,                 1.3685,                 1.0914,                 1.4381,               0.001505,               0.001505,               0.001505
                     18,                 1.1661,                 0.8637,                 1.2365,                0.78786,                0.77876,                0.84422,                0.48132,                 1.3699,                 1.0036,                 1.4397,              0.0014741,              0.0014741,              0.0014741
                     19,                 1.1557,                0.85532,                 1.2127,                0.76296,                0.73345,                0.79151,                 0.4401,                 1.4708,                 1.0575,                 1.4988,              0.0014431,              0.0014431,              0.0014431
                     20,                 1.1421,                0.83527,                 1.2096,                0.73945,                0.72205,                 0.7663,                0.41172,                 1.5626,                 1.0716,                 1.5824,              0.0014122,              0.0014122,              0.0014122
                     21,                 1.1447,                0.83711,                 1.2071,                0.67482,                0.63717,                0.71669,                0.40965,                 1.5141,                 1.1746,                 1.5306,              0.0013813,              0.0013813,              0.0013813
                     22,                 1.1286,                0.81395,                 1.1976,                0.60228,                0.46681,                0.50703,                 0.2601,                 1.8039,                 1.7613,                 1.6966,              0.0013503,              0.0013503,              0.0013503
                     23,                 1.0986,                0.78636,                 1.1766,                0.84363,                0.72812,                0.83077,                0.49604,                 1.3517,                0.98329,                 1.4305,              0.0013194,              0.0013194,              0.0013194
                     24,                 1.0924,                0.75508,                  1.181,                 0.7979,                0.72788,                0.79608,                0.45165,                 1.4467,                 1.0394,                 1.4909,              0.0012884,              0.0012884,              0.0012884
                     25,                 1.0735,                0.74626,                 1.1764,                0.79223,                0.74115,                0.81283,                 0.4702,                 1.3983,                0.95775,                 1.4467,              0.0012575,              0.0012575,              0.0012575
                     26,                 1.0827,                0.74986,                 1.1664,                0.76373,                0.77655,                0.82524,                  0.465,                 1.5282,                 0.9496,                 1.5191,              0.0012266,              0.0012266,              0.0012266
                     27,                 1.0769,                0.73499,                 1.1628,                0.75423,                0.78982,                0.80755,                0.45693,                 1.4518,                0.95259,                 1.5552,              0.0011956,              0.0011956,              0.0011956
                     28,                 1.0416,                 0.7163,                 1.1504,                0.82706,                0.75221,                0.84279,                 0.4956,                  1.389,                0.90718,                 1.4406,              0.0011647,              0.0011647,              0.0011647
                     29,                 1.0106,                0.69017,                 1.1242,                 0.7981,                0.77655,                0.85435,                0.51242,                 1.3778,                0.89917,                 1.4166,              0.0011337,              0.0011337,              0.0011337
                     30,                 1.0053,                0.68152,                 1.1153,                0.81782,                0.78319,                0.84495,                0.46922,                 1.4252,                0.90635,                 1.4785,              0.0011028,              0.0011028,              0.0011028
                     31,                  1.015,                0.70312,                 1.1352,                0.77986,                0.79158,                 0.8301,                0.49778,                 1.3544,                0.88049,                 1.3768,              0.0010719,              0.0010719,              0.0010719
                     32,                 1.0223,                0.67757,                 1.1241,                0.81597,                0.78097,                0.85509,                0.50228,                 1.3903,                0.85556,                  1.419,              0.0010409,              0.0010409,              0.0010409
                     33,                0.99093,                0.66632,                 1.1176,                0.80037,                0.78056,                0.84059,                0.49645,                 1.4242,                0.87187,                 1.4765,                0.00101,                0.00101,                0.00101
                     34,                0.97287,                0.64208,                 1.1135,                0.83743,                0.73894,                0.83334,                0.48875,                 1.4301,                0.88284,                 1.4938,             0.00097906,             0.00097906,             0.00097906
                     35,                0.97088,                 0.6362,                 1.1016,                 0.8319,                0.82118,                0.87343,                0.51747,                  1.371,                0.80097,                 1.4425,             0.00094812,             0.00094812,             0.00094812
                     36,                0.96119,                0.63858,                  1.098,                0.82774,                0.75479,                 0.8346,                0.49738,                 1.4527,                0.86278,                 1.4995,             0.00091719,             0.00091719,             0.00091719
                     37,                0.94645,                0.61999,                  1.087,                0.82306,                 0.8208,                0.86999,                0.52457,                 1.3574,                0.82239,                  1.444,             0.00088625,             0.00088625,             0.00088625
                     38,                0.93037,                0.60304,                 1.0763,                0.82687,                0.71849,                0.81086,                0.48424,                 1.3806,                0.91951,                 1.4461,             0.00085531,             0.00085531,             0.00085531
                     39,                0.90232,                 0.5885,                 1.0632,                0.85318,                0.80752,                0.87396,                0.52473,                  1.381,                0.76964,                 1.4378,             0.00082438,             0.00082438,             0.00082438
