                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     24,                0.75366,                 1.1924,                 0.4327,                0.98111,                0.71852,                0.66072,                0.68902,                0.38384,                0.72826,                 0.6702,                0.70362,                0.38798,                 1.8273,                 2.8093,                 1.2676,                 1.6478,              0.0064422,              0.0064422,              0.0064422
                     25,                0.74002,                 1.1743,                0.42685,                0.97479,                0.72139,                0.66257,                0.69607,                 0.3937,                0.72102,                0.67149,                0.70217,                0.39651,                 1.8211,                 2.7625,                 1.3097,                 1.6281,              0.0062875,              0.0062875,              0.0062875
                     26,                0.72878,                  1.164,                0.41992,                0.96814,                0.71411,                0.64257,                0.66989,                 0.3492,                 0.7214,                0.65764,                0.68711,                0.35757,                 1.9107,                 2.8604,                 1.2677,                 1.7447,              0.0061328,              0.0061328,              0.0061328
                     27,                 0.7218,                 1.1483,                0.41246,                0.96718,                0.72665,                0.61981,                0.67477,                0.35804,                0.72333,                0.64094,                0.68847,                0.36469,                  1.908,                 2.7334,                 1.3048,                 1.7053,              0.0059781,              0.0059781,              0.0059781
                     28,                0.71954,                 1.1512,                0.41032,                0.96743,                0.70776,                0.65272,                 0.6782,                0.36681,                0.72038,                 0.6506,                0.68176,                0.36785,                 1.8837,                 2.9256,                  1.308,                 1.7073,              0.0058234,              0.0058234,              0.0058234
                     29,                 0.7014,                 1.1254,                0.39876,                0.95835,                0.69716,                0.64811,                0.67208,                0.37033,                0.70461,                0.65518,                0.68108,                0.37617,                 1.8787,                 2.8033,                 1.2786,                 1.7017,              0.0056688,              0.0056688,              0.0056688
                     30,                0.69062,                 1.1122,                0.39398,                0.95437,                0.73015,                0.66287,                0.70067,                0.39113,                0.73598,                0.67918,                0.71232,                0.39809,                 1.8611,                 2.7816,                 1.2416,                 1.6814,              0.0055141,              0.0055141,              0.0055141
                     31,                0.69212,                 1.1113,                0.39067,                0.95363,                0.74364,                0.64596,                0.69863,                0.38526,                0.74574,                0.65951,                0.70418,                0.38785,                 1.8488,                 2.8544,                 1.2419,                 1.6953,              0.0053594,              0.0053594,              0.0053594
                     32,                0.68561,                 1.0976,                0.38837,                0.95276,                0.73111,                0.66658,                 0.7044,                0.38949,                 0.7391,                0.67532,                 0.7107,                0.38997,                 1.8816,                 2.9101,                 1.2413,                 1.6895,              0.0052047,              0.0052047,              0.0052047
                     33,                0.67625,                 1.0861,                0.37906,                0.94614,                0.79434,                0.63086,                0.72219,                0.40751,                0.79544,                0.63395,                0.72414,                0.40443,                 1.8589,                 2.8719,                 1.2656,                  1.665,                0.00505,                0.00505,                0.00505
                     34,                 0.6673,                  1.076,                0.37479,                0.94315,                 0.7284,                0.68386,                0.72123,                0.38424,                0.72395,                0.68891,                0.72045,                0.38781,                 1.9165,                 2.9577,                 1.2306,                 1.7331,              0.0048953,              0.0048953,              0.0048953
