                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.6841,                 3.0292,                 2.7251,                 1.5963,                0.84688,                0.24608,                0.46451,                0.24578,                0.84311,                0.23909,                0.39943,                0.14989,                  1.642,                  6.457,                 3.0232,                 1.5271,               0.000657,               0.000657,               0.000657
                      2,                 1.5648,                 2.4568,                 1.8962,                 1.4529,                0.44909,                  0.375,                0.31874,                0.13962,                0.44712,                0.34746,                0.29812,                0.10694,                 2.1984,                 5.3691,                 3.4159,                 2.1123,              0.0013032,              0.0013032,              0.0013032
                      3,                 1.5125,                 2.4266,                 1.6491,                 1.4433,                0.48649,                0.43432,                0.38674,                0.18212,                  0.469,                0.39195,                0.35311,                0.14765,                 1.8665,                 4.2345,                 2.4478,                 1.9126,              0.0019288,              0.0019288,              0.0019288
                      4,                 1.5145,                 2.4036,                 1.5373,                 1.4684,                0.67546,                0.62288,                 0.6815,                0.35261,                0.67225,                0.62712,                0.67034,                0.33047,                 1.7144,                 2.9489,                 1.9072,                 1.6828,              0.0019072,              0.0019072,              0.0019072
                      5,                 1.4947,                  2.323,                  1.386,                 1.4158,                0.66081,                0.67797,                0.68854,                0.38787,                0.66046,                0.67797,                0.68597,                0.36351,                 1.5359,                 2.6385,                 1.6891,                  1.509,              0.0018763,              0.0018763,              0.0018763
                      6,                 1.4648,                 2.2739,                 1.3332,                 1.4144,                0.60255,                0.51907,                0.53176,                0.21469,                0.59271,                0.51059,                0.51468,                0.18389,                 2.0842,                 4.0286,                  1.826,                 1.7784,              0.0018453,              0.0018453,              0.0018453
                      7,                 1.4177,                  2.229,                 1.2431,                 1.3765,                0.75795,                0.75629,                0.79261,                 0.4692,                0.73841,                0.74788,                0.77668,                0.45585,                 1.4379,                  2.565,                 1.2151,                  1.461,              0.0018144,              0.0018144,              0.0018144
                      8,                 1.3869,                 2.1824,                 1.1784,                 1.3677,                0.71415,                0.08051,                0.12007,                0.07368,                0.71415,                0.08051,                0.12132,                0.06854,                 2.6835,                 96.492,                 4.2643,                 2.9426,              0.0017834,              0.0017834,              0.0017834
                      9,                 1.3349,                  2.121,                 1.1198,                 1.3407,                 0.7879,                0.69703,                0.76795,                 0.4423,                0.78508,                0.69492,                0.76993,                0.41816,                   1.48,                 2.5383,                  1.261,                 1.4666,              0.0017525,              0.0017525,              0.0017525
                     10,                 1.3433,                 2.0999,                  1.108,                 1.3385,                0.76225,                0.71822,                0.77516,                0.45055,                0.75344,                0.71862,                0.76414,                0.43442,                 1.4814,                  2.437,                 1.2763,                 1.4871,              0.0017216,              0.0017216,              0.0017216
                     11,                 1.3405,                 2.0974,                 1.0923,                  1.331,                0.84739,                0.77331,                0.83086,                0.49262,                0.85648,                0.78388,                0.83844,                0.49059,                 1.4534,                 2.4788,                 1.0424,                 1.4199,              0.0016906,              0.0016906,              0.0016906
