                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.6789,                 3.0434,                 2.7245,                 1.6098,                0.84984,                0.08186,                0.33756,                0.14817,                0.32156,                0.03097,                0.07948,                0.01632,                 1.7599,                 6.6991,                 3.3613,                 1.7318,             0.00065672,             0.00065672,             0.00065672
                      2,                 1.5352,                 2.5287,                 1.8884,                 1.4521,                0.48489,                0.42693,                0.39809,                0.15372,                0.46016,                0.40265,                0.35409,                0.10159,                 2.0166,                 4.5325,                 2.7441,                 1.9439,              0.0013029,              0.0013029,              0.0013029
                      3,                 1.5331,                 2.4514,                 1.6997,                 1.4676,                0.58006,                0.62389,                0.58255,                0.27977,                0.57937,                0.61726,                0.56827,                0.22576,                 1.6758,                 3.4631,                 2.0577,                 1.7235,              0.0019285,              0.0019285,              0.0019285
                      4,                 1.5421,                 2.4862,                 1.5695,                 1.4538,                0.66193,                0.65265,                0.66407,                0.33423,                0.66457,                0.64433,                0.66272,                0.30222,                 1.6048,                 2.8021,                 1.5692,                  1.621,              0.0019072,              0.0019072,              0.0019072
                      5,                 1.4683,                  2.357,                 1.3774,                 1.4164,                0.68915,                 0.7146,                0.74059,                0.39641,                0.68062,                0.70575,                0.73134,                0.35464,                  1.589,                 2.7679,                 1.3691,                 1.5627,              0.0018763,              0.0018763,              0.0018763
                      6,                 1.4544,                 2.3149,                 1.3098,                 1.3878,                 0.6729,                0.74642,                0.73539,                0.37187,                0.70414,                0.72662,                0.73558,                0.34961,                 1.6987,                 2.8131,                 1.3811,                 1.7149,              0.0018453,              0.0018453,              0.0018453
                      7,                 1.4178,                 2.2177,                 1.2437,                 1.3755,                0.76504,                0.74558,                0.80923,                0.44831,                0.76302,                0.74083,                0.79734,                0.41256,                 1.5391,                 2.7338,                 1.2156,                 1.5389,              0.0018144,              0.0018144,              0.0018144
                      8,                 1.3694,                 2.1467,                 1.1546,                 1.3467,                0.77081,                0.75221,                0.80507,                 0.4653,                0.77329,                 0.7471,                0.80416,                0.43501,                 1.4882,                 2.4135,                 1.1116,                 1.4919,              0.0017834,              0.0017834,              0.0017834
                      9,                 1.3751,                  2.162,                 1.1777,                 1.3428,                0.77345,                0.56649,                 0.7118,                 0.3948,                0.80068,                0.55101,                0.70453,                0.36976,                 1.5319,                 2.6092,                 1.2964,                 1.4778,              0.0017525,              0.0017525,              0.0017525
                     10,                 1.3433,                 2.0793,                 1.1054,                  1.313,                0.80963,                0.74779,                0.80951,                0.45738,                  0.775,                 0.7773,                0.79353,                0.43584,                 1.4146,                 2.3115,                 1.0582,                 1.4332,              0.0017216,              0.0017216,              0.0017216
                     11,                 1.3121,                 2.0435,                 1.0548,                 1.3117,                0.76605,                0.76789,                0.83893,                0.49492,                0.78904,                0.74779,                0.83329,                0.47853,                 1.3946,                 2.2568,                 1.1581,                 1.4427,              0.0016906,              0.0016906,              0.0016906
                     12,                 1.2999,                 2.0461,                 1.0308,                 1.3069,                0.73318,                0.79204,                0.81975,                0.46747,                0.73523,                0.79425,                0.81483,                0.42795,                 1.4612,                 2.5278,                 1.1329,                 1.4854,              0.0016597,              0.0016597,              0.0016597
                     13,                 1.2402,                 1.9588,                0.96206,                 1.2657,                0.79377,                 0.7664,                0.82649,                0.50639,                0.79307,                0.78319,                0.83291,                0.47889,                 1.3848,                 2.2773,                 1.0526,                 1.4492,              0.0016287,              0.0016287,              0.0016287
                     14,                 1.2521,                 2.0161,                0.97752,                 1.2622,                0.75265,                0.66593,                0.77832,                0.43811,                0.74729,                0.67699,                0.77679,                0.41395,                 1.4999,                  2.365,                 1.1416,                 1.5245,              0.0015978,              0.0015978,              0.0015978
                     15,                 1.2294,                 1.9601,                0.94331,                 1.2624,                0.78125,                 0.7677,                0.82705,                 0.4784,                 0.7835,                0.76991,                0.82389,                0.46294,                 1.4183,                 2.2163,                 1.0073,                 1.4994,              0.0015669,              0.0015669,              0.0015669
                     16,                 1.2299,                 1.9467,                0.93572,                 1.2477,                0.73921,                0.79204,                0.84707,                0.50731,                0.79945,                0.74081,                0.84792,                0.49188,                 1.4067,                 2.2746,                 1.0065,                 1.4219,              0.0015359,              0.0015359,              0.0015359
                     17,                 1.2008,                 1.9146,                0.89502,                 1.2349,                0.79247,                0.76877,                0.84019,                0.49997,                0.80182,                0.77876,                0.84852,                0.48553,                 1.3796,                  2.212,                 1.0007,                 1.4025,               0.001505,               0.001505,               0.001505
                     18,                 1.1712,                 1.8472,                0.85422,                 1.2049,                0.76478,                0.78408,                0.82097,                0.46332,                0.78565,                0.76227,                0.80863,                0.44752,                 1.4867,                 2.2737,                 1.0823,                 1.4957,              0.0014741,              0.0014741,              0.0014741
                     19,                 1.1746,                 1.8554,                0.86079,                 1.2171,                 0.7518,                0.65003,                 0.7286,                0.41104,                0.71837,                 0.6792,                0.73077,                0.40623,                 1.4674,                 2.3072,                    1.2,                 1.5145,              0.0014431,              0.0014431,              0.0014431
                     20,                 1.1739,                 1.8338,                0.85005,                 1.2182,                0.81612,                0.80531,                0.86306,                0.52066,                0.83457,                0.79646,                0.87842,                0.51208,                 1.3947,                 2.1943,                0.92776,                 1.4462,              0.0014122,              0.0014122,              0.0014122
                     21,                 1.1685,                 1.8589,                0.85248,                 1.2088,                0.74212,                0.81493,                0.82523,                  0.488,                 0.7542,                 0.8282,                0.84165,                0.47779,                 1.4912,                 2.1819,                 1.0151,                 1.5433,              0.0013813,              0.0013813,              0.0013813
                     22,                 1.1496,                 1.8129,                0.83893,                 1.2038,                0.79262,                0.68363,                0.78691,                0.46214,                0.78493,                0.67699,                0.77179,                0.43093,                 1.3953,                  2.172,                 1.1281,                  1.464,              0.0013503,              0.0013503,              0.0013503
                     23,                 1.1104,                 1.7789,                0.79928,                 1.1801,                0.79111,                0.77923,                0.83263,                0.49443,                0.78437,                 0.7726,                0.82952,                0.48065,                 1.4095,                 2.2506,                0.96412,                 1.4695,              0.0013194,              0.0013194,              0.0013194
                     24,                 1.0841,                 1.7309,                0.76653,                  1.155,                0.83758,                   0.75,                0.84762,                0.52234,                0.85022,                0.74115,                0.84454,                 0.4934,                 1.4072,                  2.255,                0.89393,                 1.4689,              0.0012884,              0.0012884,              0.0012884
                     25,                 1.0971,                 1.7807,                0.77829,                 1.1642,                0.79604,                0.80973,                0.86569,                0.53013,                0.79821,                0.81195,                0.86722,                0.50892,                 1.3385,                 2.1918,                0.86484,                 1.4125,              0.0012575,              0.0012575,              0.0012575
                     26,                 1.0692,                 1.6888,                0.72883,                 1.1396,                0.81192,                0.78316,                0.83413,                 0.5152,                0.81651,                0.78758,                0.83791,                0.48702,                 1.4011,                 2.2262,                0.91182,                 1.4492,              0.0012266,              0.0012266,              0.0012266
                     27,                 1.0656,                 1.7063,                0.73741,                 1.1471,                0.81698,                0.81195,                0.87063,                0.51154,                0.82014,                0.79425,                0.85975,                0.48846,                 1.4047,                 2.3037,                0.84256,                 1.4613,              0.0011956,              0.0011956,              0.0011956
