                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  1.742,                  3.001,                 1.6864,                0.00415,                0.89024,                 0.1051,                0.03953,                 2.2393,                  3.899,                 2.4084,                0.00064,                0.00064,                0.00064
                      2,                  1.555,                 2.0586,                 1.4898,                0.03555,                0.03455,                0.00918,                 0.0025,                 3.1271,                  4.444,                 3.6154,              0.0012799,              0.0012799,              0.0012799
                      3,                 1.5323,                 1.7986,                 1.4874,                0.22859,                0.36179,                0.18781,                0.07662,                  1.904,                 3.8216,                 2.3555,              0.0018994,              0.0018994,              0.0018994
                      4,                 1.5037,                 1.5853,                 1.4804,                 0.5187,                0.44715,                0.41963,                0.18162,                 1.9723,                  1.985,                 1.9669,              0.0019072,              0.0019072,              0.0019072
                      5,                 1.4253,                  1.401,                 1.4097,                0.23023,                0.37264,                0.22187,                 0.0952,                 2.0764,                 3.0719,                 2.2427,              0.0018763,              0.0018763,              0.0018763
                      6,                 1.3773,                 1.2482,                 1.3795,                0.53735,                0.43437,                0.43606,                0.19642,                 1.8629,                 1.8719,                 1.8002,              0.0018453,              0.0018453,              0.0018453
                      7,                  1.382,                 1.2486,                 1.3846,                 0.6362,                0.62398,                0.62937,                0.29552,                 1.8618,                 1.4842,                 1.7047,              0.0018144,              0.0018144,              0.0018144
                      8,                 1.3335,                 1.1696,                 1.3352,                 0.7061,                0.69342,                0.70564,                0.35915,                 1.6101,                 1.5196,                 1.6477,              0.0017834,              0.0017834,              0.0017834
                      9,                 1.3116,                 1.1172,                 1.3213,                0.62272,                0.69106,                0.65482,                0.32728,                 1.6845,                 1.5693,                 1.7399,              0.0017525,              0.0017525,              0.0017525
                     10,                  1.285,                 1.0704,                 1.3142,                0.31191,                0.26074,                0.20057,                0.08751,                 2.2656,                 3.2774,                 2.2413,              0.0017216,              0.0017216,              0.0017216
                     11,                 1.3169,                 1.1012,                 1.3351,                0.63608,                0.65244,                0.62977,                0.32281,                  1.724,                 1.4027,                 1.6764,              0.0016906,              0.0016906,              0.0016906
                     12,                 1.2886,                 1.0477,                  1.312,                0.73286,                0.71138,                0.71954,                0.35097,                 1.6509,                 1.2333,                 1.5796,              0.0016597,              0.0016597,              0.0016597
                     13,                 1.2607,                0.99732,                 1.2806,                 0.6668,                0.64837,                0.63522,                0.31274,                 1.7055,                 1.5445,                 1.6591,              0.0016287,              0.0016287,              0.0016287
                     14,                 1.2286,                0.94994,                 1.2564,                0.79211,                0.71138,                0.75867,                0.37106,                  1.764,                 1.1093,                 1.7045,              0.0015978,              0.0015978,              0.0015978
                     15,                 1.2229,                0.93238,                 1.2468,                0.73371,                0.71748,                0.73665,                0.40143,                 1.6034,                 1.1596,                 1.5576,              0.0015669,              0.0015669,              0.0015669
                     16,                 1.1885,                0.90309,                 1.2375,                0.76308,                  0.707,                0.74356,                0.35406,                 1.7127,                 1.3137,                 1.6496,              0.0015359,              0.0015359,              0.0015359
                     17,                 1.1732,                  0.901,                  1.239,                0.74612,                0.72358,                0.73946,                0.35173,                 1.7555,                 1.0769,                 1.6866,               0.001505,               0.001505,               0.001505
                     18,                 1.1686,                0.88505,                 1.2222,                0.73516,                0.73577,                 0.7272,                0.38872,                 1.6343,                 1.1073,                 1.6495,              0.0014741,              0.0014741,              0.0014741
                     19,                  1.148,                0.84148,                 1.2245,                0.80452,                0.79469,                0.82996,                0.44826,                 1.4801,                0.99655,                 1.5051,              0.0014431,              0.0014431,              0.0014431
                     20,                 1.1498,                0.84313,                 1.2128,                0.73605,                 0.7622,                0.76452,                 0.4049,                 1.5997,                 1.0533,                 1.5473,              0.0014122,              0.0014122,              0.0014122
                     21,                 1.1151,                0.80231,                 1.1923,                 0.7775,                0.77033,                0.79824,                0.43102,                 1.5742,                0.95633,                 1.5572,              0.0013813,              0.0013813,              0.0013813
                     22,                 1.1063,                0.83056,                  1.195,                0.79415,                0.69787,                0.75217,                0.39595,                 1.6812,                 1.0977,                 1.6236,              0.0013503,              0.0013503,              0.0013503
                     23,                 1.0818,                0.76318,                 1.1739,                0.65641,                0.69894,                0.65812,                0.35101,                 1.6676,                  1.247,                 1.7039,              0.0013194,              0.0013194,              0.0013194
                     24,                 1.0851,                0.77519,                 1.1721,                0.83727,                0.79878,                0.83996,                  0.451,                 1.5289,                0.91204,                 1.4871,              0.0012884,              0.0012884,              0.0012884
                     25,                 1.0552,                0.72516,                 1.1433,                0.73918,                0.71138,                0.75102,                0.39312,                 1.5808,                 1.1195,                 1.5608,              0.0012575,              0.0012575,              0.0012575
                     26,                 1.0433,                0.73384,                 1.1524,                0.74209,                0.73104,                0.77017,                0.41146,                  1.501,                 1.1679,                 1.4979,              0.0012266,              0.0012266,              0.0012266
                     27,                 1.0199,                0.70818,                 1.1298,                0.79652,                   0.75,                0.80061,                0.44551,                 1.5331,                0.99005,                 1.5201,              0.0011956,              0.0011956,              0.0011956
                     28,                 1.0239,                0.70452,                 1.1478,                0.81407,                0.80894,                0.83075,                 0.4507,                 1.5386,                0.88339,                 1.5521,              0.0011647,              0.0011647,              0.0011647
                     29,                   1.02,                0.69204,                 1.1425,                0.83852,                0.84553,                0.85328,                0.47308,                 1.4858,                0.88534,                 1.5336,              0.0011337,              0.0011337,              0.0011337
                     30,                0.99529,                0.66293,                 1.1175,                0.83911,                0.79503,                0.84144,                0.45136,                 1.5273,                0.89765,                 1.5191,              0.0011028,              0.0011028,              0.0011028
                     31,                 1.0126,                0.67556,                 1.1293,                0.80398,                0.78252,                0.82605,                0.46685,                 1.4874,                0.93979,                 1.5288,              0.0010719,              0.0010719,              0.0010719
                     32,                0.95589,                0.65354,                 1.1121,                0.85905,                0.84236,                0.87198,                0.48121,                 1.5463,                0.80214,                 1.5171,              0.0010409,              0.0010409,              0.0010409
                     33,                0.96402,                0.64958,                 1.0971,                 0.7658,                0.76626,                0.79043,                0.42759,                 1.5729,                0.94936,                 1.5764,                0.00101,                0.00101,                0.00101
                     34,                0.96439,                0.62961,                 1.1043,                0.85145,                0.80285,                0.85889,                0.47467,                 1.5362,                0.85939,                 1.5209,             0.00097906,             0.00097906,             0.00097906
                     35,                0.94567,                0.61221,                 1.0949,                0.81772,                0.80285,                0.83006,                 0.4477,                 1.5822,                0.89841,                 1.6387,             0.00094812,             0.00094812,             0.00094812
                     36,                0.92586,                0.60304,                  1.085,                0.83106,                0.78989,                0.82517,                 0.4638,                 1.5115,                0.87684,                 1.5066,             0.00091719,             0.00091719,             0.00091719
                     37,                0.92307,                 0.5969,                 1.0762,                0.87326,                0.80894,                0.86424,                0.48756,                 1.4682,                0.80437,                  1.504,             0.00088625,             0.00088625,             0.00088625
                     38,                0.89614,                0.58077,                 1.0602,                 0.8154,                0.77846,                 0.7934,                0.44248,                 1.5459,                0.96628,                 1.5435,             0.00085531,             0.00085531,             0.00085531
                     39,                0.88119,                 0.5769,                 1.0542,                0.81761,                0.82927,                 0.8548,                0.48756,                 1.5386,                0.80583,                 1.5292,             0.00082438,             0.00082438,             0.00082438
                     40,                0.86718,                0.56562,                 1.0466,                0.79362,                0.83333,                0.82665,                0.46874,                 1.4909,                0.85022,                 1.5009,             0.00079344,             0.00079344,             0.00079344
                     41,                0.85144,                0.55351,                 1.0382,                0.83649,                0.82147,                0.84195,                 0.4627,                 1.5461,                0.82679,                 1.5796,              0.0007625,              0.0007625,              0.0007625
                     42,                0.86333,                0.55642,                 1.0511,                0.83459,                0.80285,                0.82018,                0.46841,                 1.5348,                0.84364,                 1.5314,             0.00073156,             0.00073156,             0.00073156
                     43,                0.83763,                0.54265,                 1.0274,                0.88218,                0.79472,                0.84559,                0.47454,                 1.4701,                 0.8134,                  1.536,             0.00070063,             0.00070063,             0.00070063
                     44,                0.82393,                0.52715,                 1.0241,                0.84797,                0.85569,                0.85971,                 0.4887,                  1.491,                0.76358,                 1.5717,             0.00066969,             0.00066969,             0.00066969
                     45,                 0.8039,                0.50925,                  1.023,                0.82581,                0.80943,                0.82693,                0.47132,                 1.5093,                0.79723,                 1.6056,             0.00063875,             0.00063875,             0.00063875
                     46,                0.81742,                0.51791,                 1.0187,                0.84042,                0.81349,                0.83816,                  0.486,                 1.4573,                0.79374,                 1.5347,             0.00060781,             0.00060781,             0.00060781
                     47,                0.80121,                0.50645,                 1.0137,                0.85037,                0.78547,                 0.8336,                 0.4827,                 1.4456,                0.83073,                 1.5017,             0.00057688,             0.00057688,             0.00057688
                     48,                0.77576,                0.48868,                  1.001,                0.87936,                0.80005,                0.84645,                0.49569,                 1.4718,                0.79989,                 1.5131,             0.00054594,             0.00054594,             0.00054594
                     49,                0.77504,                0.49302,                 1.0032,                0.88162,                0.79065,                0.84802,                0.47936,                 1.4709,                0.81282,                 1.5295,               0.000515,               0.000515,               0.000515
                     50,                0.77086,                 0.4902,                0.99457,                0.86841,                0.80081,                0.85188,                0.47985,                 1.4937,                0.82092,                 1.5736,             0.00048406,             0.00048406,             0.00048406
                     51,                0.75063,                0.47949,                 0.9886,                0.85797,                0.80488,                0.83722,                0.48941,                  1.488,                 0.8164,                 1.5412,             0.00045313,             0.00045313,             0.00045313
                     52,                0.73185,                0.47775,                0.98599,                0.85347,                0.79318,                0.81769,                 0.4753,                 1.4736,                0.84785,                 1.5236,             0.00042219,             0.00042219,             0.00042219
                     53,                0.72309,                0.46083,                0.97545,                0.84323,                0.79675,                0.83804,                0.47841,                 1.5055,                 0.8695,                 1.5712,             0.00039125,             0.00039125,             0.00039125
                     54,                0.73226,                0.45463,                0.98537,                0.83217,                0.81634,                0.82125,                0.47607,                 1.5102,                0.83394,                 1.5835,             0.00036031,             0.00036031,             0.00036031
                     55,                0.65497,                0.37997,                0.92829,                0.82951,                0.79115,                0.81433,                0.47212,                 1.5061,                0.81156,                 1.5534,             0.00032938,             0.00032938,             0.00032938
                     56,                0.59438,                0.33484,                0.90926,                0.87851,                0.80832,                0.83782,                0.48873,                 1.5112,                0.77958,                 1.5728,             0.00029844,             0.00029844,             0.00029844
                     57,                0.56433,                0.31704,                0.88976,                 0.8256,                0.84146,                0.80778,                0.47981,                 1.5271,                0.81123,                 1.6339,              0.0002675,              0.0002675,              0.0002675
                     58,                0.54925,                0.31477,                 0.8814,                0.86192,                0.83737,                  0.837,                0.49111,                 1.4872,                0.78648,                 1.5962,             0.00023656,             0.00023656,             0.00023656
                     59,                0.53351,                0.29862,                0.88308,                0.84839,                0.83029,                0.83512,                0.49487,                  1.494,                0.77818,                 1.6029,             0.00020562,             0.00020562,             0.00020562
                     60,                0.51825,                0.29865,                0.86951,                0.85901,                0.82969,                0.85266,                0.50332,                 1.4938,                0.77053,                 1.6279,             0.00017469,             0.00017469,             0.00017469
                     61,                0.50803,                0.29189,                0.87303,                0.86282,                0.80488,                0.84286,                0.49729,                 1.5042,                0.78664,                 1.6287,             0.00014375,             0.00014375,             0.00014375
                     62,                0.50261,                0.28444,                0.86432,                0.83463,                0.82067,                0.84396,                0.48882,                 1.5229,                0.80781,                  1.656,             0.00011281,             0.00011281,             0.00011281
                     63,                0.50057,                0.28236,                0.85749,                0.82913,                 0.8374,                0.83946,                0.49665,                 1.4917,                0.79308,                 1.6204,             8.1875e-05,             8.1875e-05,             8.1875e-05
                     64,                0.48531,                0.27772,                0.85232,                0.83586,                0.83333,                0.83808,                0.49826,                 1.5057,                0.78881,                 1.6394,             5.0937e-05,             5.0937e-05,             5.0937e-05
