                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.6527,                 3.0477,                 2.6332,                 1.5604,                0.80406,                0.05006,                0.33177,                0.14353,                0.74533,                 0.0476,                0.27928,                0.10131,                  1.774,                 4.1777,                 3.2291,                  1.615,             0.00065657,             0.00065657,             0.00065657
                      2,                 1.5234,                 2.5294,                 1.8673,                 1.4227,                0.39205,                0.54878,                0.41539,                0.17022,                0.37859,                0.53252,                 0.3827,                0.14328,                 1.9593,                 3.4596,                 2.3578,                   1.99,              0.0013028,              0.0013028,              0.0013028
                      3,                 1.5179,                 2.4711,                 1.6613,                 1.4521,                0.41543,                0.27846,                0.25984,                0.09957,                0.39574,                0.16667,                0.13098,                0.04226,                 2.2844,                 13.966,                 2.4689,                 2.1942,              0.0019283,              0.0019283,              0.0019283
                      4,                 1.4929,                 2.3813,                 1.4771,                 1.4239,                0.62488,                0.49771,                0.55431,                 0.2639,                0.62582,                0.48952,                 0.5439,                 0.2359,                 1.8954,                 3.1984,                 1.7668,                 1.8966,              0.0019072,              0.0019072,              0.0019072
                      5,                 1.4376,                 2.2922,                 1.3199,                 1.4033,                0.65385,                0.62197,                0.64369,                0.32111,                0.63815,                0.63618,                0.63941,                0.29118,                 1.6037,                 3.0892,                 1.6368,                 1.5626,              0.0018763,              0.0018763,              0.0018763
                      6,                 1.4073,                 2.2105,                 1.2339,                 1.3666,                 0.6045,                0.59956,                0.56689,                0.25946,                0.60245,                0.59753,                0.54999,                0.24845,                 1.9056,                 2.6684,                  1.611,                 1.9572,              0.0018453,              0.0018453,              0.0018453
                      7,                 1.4051,                 2.1895,                 1.2114,                  1.366,                0.73389,                0.66705,                0.71796,                0.36396,                0.70718,                0.67073,                0.69074,                0.32809,                 1.6736,                  2.912,                 1.2308,                 1.5617,              0.0018144,              0.0018144,              0.0018144
                      8,                 1.3461,                 2.1313,                 1.1345,                 1.3298,                0.68291,                 0.6626,                0.67557,                0.35577,                0.66406,                0.64431,                 0.6568,                0.33522,                 1.6031,                 2.5243,                 1.3637,                 1.6121,              0.0017834,              0.0017834,              0.0017834
                      9,                 1.3311,                 2.0811,                 1.0753,                  1.325,                0.67963,                  0.664,                0.67115,                0.35681,                0.67229,                0.66463,                 0.6616,                0.34936,                 1.5303,                 2.5113,                 1.3856,                 1.5361,              0.0017525,              0.0017525,              0.0017525
                     10,                 1.2742,                 2.0162,                  1.028,                 1.2737,                0.68124,                0.70806,                0.68713,                0.36476,                 0.6689,                0.70628,                0.66913,                0.36239,                 1.6158,                 2.6261,                 1.2357,                 1.5854,              0.0017216,              0.0017216,              0.0017216
                     11,                 1.3028,                 2.0546,                 1.0338,                    1.3,                0.81341,                0.80488,                0.81349,                0.43706,                0.81252,                0.80162,                0.80688,                0.42077,                 1.5139,                  2.458,                 1.0065,                 1.4852,              0.0016906,              0.0016906,              0.0016906
                     12,                 1.2789,                  2.028,                 0.9855,                 1.2816,                 0.7548,                0.76956,                0.78386,                0.40208,                0.72328,                0.77642,                0.75655,                0.39132,                 1.6017,                 2.5711,                 1.0686,                 1.6053,              0.0016597,              0.0016597,              0.0016597
                     13,                  1.239,                 1.9578,                0.93932,                 1.2599,                0.64001,                0.62513,                 0.6399,                0.31269,                0.63312,                0.62602,                0.62494,                0.31375,                 1.6657,                 2.6756,                 1.4485,                 1.6195,              0.0016287,              0.0016287,              0.0016287
                     14,                 1.2436,                 1.9607,                0.94316,                 1.2555,                0.83602,                0.80691,                 0.8477,                0.45117,                0.82722,                0.79878,                0.82527,                0.43642,                 1.5022,                 2.5854,                0.91968,                 1.4775,              0.0015978,              0.0015978,              0.0015978
                     15,                 1.2043,                 1.9193,                0.89538,                 1.2305,                0.74595,                0.73407,                0.71806,                0.38245,                0.75839,                0.74593,                0.72362,                0.38001,                 1.6013,                 2.6725,                 1.1283,                 1.5512,              0.0015669,              0.0015669,              0.0015669
                     16,                 1.1817,                 1.8809,                0.87134,                 1.2216,                0.85296,                0.82724,                0.85248,                0.47272,                 0.8466,                0.81707,                0.83637,                0.45174,                 1.4787,                 2.4148,                0.89102,                 1.4763,              0.0015359,              0.0015359,              0.0015359
                     17,                 1.1728,                 1.8616,                0.86934,                 1.2157,                0.74783,                0.73577,                0.73278,                0.39705,                0.72278,                0.71138,                0.70604,                0.37658,                 1.5395,                 2.5812,                 1.1397,                 1.5069,               0.001505,               0.001505,               0.001505
                     18,                 1.1735,                 1.8678,                0.87822,                 1.2108,                0.85359,                0.79878,                0.84625,                0.47202,                0.85359,                0.79878,                0.82574,                0.44707,                 1.4933,                 2.5638,                0.88989,                 1.4742,              0.0014741,              0.0014741,              0.0014741
                     19,                 1.1367,                  1.828,                0.81528,                 1.1872,                0.87995,                0.85772,                0.87448,                0.46004,                0.87161,                0.84959,                0.85845,                0.44835,                 1.5737,                 2.6749,                0.83661,                 1.5026,              0.0014431,              0.0014431,              0.0014431
                     20,                 1.1241,                 1.7876,                0.79426,                  1.184,                0.80638,                0.78659,                0.82022,                0.44522,                0.82437,                0.78049,                 0.8132,                0.43503,                  1.529,                 2.4863,                0.93326,                 1.5005,              0.0014122,              0.0014122,              0.0014122
                     21,                 1.1317,                 1.8008,                0.79135,                 1.1815,                0.84705,                0.83537,                0.87408,                0.48682,                0.84499,                0.83333,                0.86521,                0.47162,                  1.444,                 2.5248,                0.84818,                 1.4417,              0.0013813,              0.0013813,              0.0013813
                     22,                 1.0919,                 1.7686,                0.76619,                 1.1695,                0.87748,                0.81098,                0.86517,                0.47043,                0.87579,                0.81098,                0.85703,                0.45302,                  1.495,                 2.6978,                0.89058,                 1.4782,              0.0013503,              0.0013503,              0.0013503
                     23,                 1.1212,                 1.8047,                0.78693,                 1.1791,                0.83471,                0.79035,                0.80162,                0.44812,                0.81212,                 0.7907,                0.78453,                0.44208,                 1.5092,                 2.4894,                0.91966,                 1.4756,              0.0013194,              0.0013194,              0.0013194
                     24,                 1.0701,                 1.7463,                0.74134,                 1.1501,                0.85833,                0.76349,                0.83498,                0.46718,                0.85565,                0.76016,                0.82866,                0.45192,                 1.4919,                 2.4471,                0.88747,                 1.4538,              0.0012884,              0.0012884,              0.0012884
                     25,                  1.074,                 1.7358,                0.74184,                 1.1467,                0.84781,                0.81911,                0.84808,                0.49147,                0.84681,                0.82927,                0.84556,                0.47873,                 1.4196,                 2.4956,                0.81875,                 1.4333,              0.0012575,              0.0012575,              0.0012575
