                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.7032,                 2.9843,                 1.6629,                 0.9204,                0.04901,                0.17892,                 0.0889,                 1.8639,                 3.5863,                 1.8355,             0.00064706,             0.00064706,             0.00064706
                      2,                 1.5737,                 2.0218,                  1.489,                0.00502,                0.06568,                0.00339,                0.00109,                 2.4446,                  16.05,                 3.0797,              0.0012934,              0.0012934,              0.0012934
                      3,                 1.5533,                 1.8009,                 1.5354,                0.36871,                0.26059,                0.22702,                0.10776,                 2.0629,                 2.9135,                 1.9564,              0.0019191,              0.0019191,              0.0019191
                      4,                 1.4892,                  1.556,                 1.4575,                0.12559,                0.27754,                0.08647,                0.03725,                  2.161,                  5.039,                 2.1489,              0.0019072,              0.0019072,              0.0019072
                      5,                  1.468,                 1.4364,                 1.4298,                0.67558,                0.62288,                0.66316,                0.34295,                 1.6597,                  1.615,                 1.5766,              0.0018763,              0.0018763,              0.0018763
                      6,                 1.4337,                 1.3587,                 1.4245,                0.63705,                0.59958,                  0.618,                0.35458,                 1.5004,                 1.9656,                 1.4958,              0.0018453,              0.0018453,              0.0018453
                      7,                 1.3962,                 1.2683,                 1.3987,                0.58127,                0.56173,                0.59894,                0.32721,                 1.6005,                 1.7938,                  1.621,              0.0018144,              0.0018144,              0.0018144
                      8,                 1.3658,                 1.2285,                 1.3624,                0.66433,                0.54661,                 0.5988,                0.32456,                 1.7316,                 1.6856,                 1.6815,              0.0017834,              0.0017834,              0.0017834
                      9,                 1.3247,                   1.15,                 1.3423,                0.73541,                0.73093,                0.77651,                 0.4406,                 1.5476,                 1.1659,                 1.5192,              0.0017525,              0.0017525,              0.0017525
                     10,                 1.3269,                 1.1042,                 1.3433,                0.75066,                0.60169,                0.70347,                0.40761,                 1.5448,                 1.3407,                 1.5449,              0.0017216,              0.0017216,              0.0017216
                     11,                 1.2698,                 1.0512,                 1.3074,                0.65438,                0.57627,                0.59575,                0.30056,                 1.6452,                 1.6743,                 1.5368,              0.0016906,              0.0016906,              0.0016906
                     12,                 1.2945,                 1.0731,                 1.3197,                0.80188,                0.68432,                0.78577,                0.45567,                 1.5314,                 1.1857,                 1.5273,              0.0016597,              0.0016597,              0.0016597
                     13,                 1.2005,                0.96744,                 1.2534,                0.73876,                0.69068,                 0.7401,                0.41616,                 1.5417,                 1.2097,                 1.5241,              0.0016287,              0.0016287,              0.0016287
                     14,                 1.2203,                0.97636,                 1.2635,                0.61576,                0.49576,                0.54952,                 0.2853,                 1.7334,                 1.7646,                  1.819,              0.0015978,              0.0015978,              0.0015978
                     15,                 1.2184,                0.95278,                 1.2677,                0.57646,                0.63347,                0.63251,                0.35653,                 1.5689,                 1.5466,                 1.5991,              0.0015669,              0.0015669,              0.0015669
                     16,                 1.2043,                0.93048,                 1.2623,                0.10822,                0.22246,                0.07615,                0.03301,                 2.3387,                 3.5069,                 1.9932,              0.0015359,              0.0015359,              0.0015359
                     17,                 1.2063,                0.90299,                 1.2544,                0.79151,                 0.7641,                0.82051,                0.47289,                 1.4883,                 1.0077,                 1.4846,               0.001505,               0.001505,               0.001505
                     18,                  1.168,                0.87395,                 1.2238,                0.79217,                0.79025,                 0.8489,                0.49667,                 1.4499,                0.94907,                 1.4272,              0.0014741,              0.0014741,              0.0014741
                     19,                  1.166,                0.89952,                 1.2319,                0.79648,                0.77754,                  0.832,                0.49349,                 1.4436,                 1.0095,                 1.4697,              0.0014431,              0.0014431,              0.0014431
                     20,                 1.1408,                0.84602,                 1.2164,                0.81764,                0.75847,                0.82351,                 0.4913,                 1.4833,                 1.0144,                 1.5268,              0.0014122,              0.0014122,              0.0014122
                     21,                 1.1183,                0.83157,                 1.1943,                0.79522,                 0.7839,                0.84176,                0.52513,                 1.3664,                 1.0323,                  1.359,              0.0013813,              0.0013813,              0.0013813
                     22,                 1.1146,                0.81425,                 1.1932,                0.69492,                0.76059,                0.77099,                0.45046,                 1.4781,                 1.0606,                 1.4678,              0.0013503,              0.0013503,              0.0013503
                     23,                 1.1007,                0.77329,                 1.1851,                0.84379,                0.83263,                0.87143,                0.52385,                 1.4604,                0.81997,                 1.4433,              0.0013194,              0.0013194,              0.0013194
                     24,                  1.103,                0.77334,                 1.1866,                0.88771,                0.83051,                0.89954,                0.54393,                 1.3894,                0.78044,                 1.4177,              0.0012884,              0.0012884,              0.0012884
                     25,                 1.0699,                0.76031,                  1.179,                0.81349,                0.80297,                0.85309,                0.51973,                 1.4281,                0.86441,                 1.4517,              0.0012575,              0.0012575,              0.0012575
                     26,                 1.0619,                0.74455,                 1.1646,                0.85653,                0.83263,                0.91837,                0.57123,                  1.354,                0.74107,                 1.3788,              0.0012266,              0.0012266,              0.0012266
                     27,                 1.0733,                0.73341,                 1.1666,                0.84563,                0.79873,                 0.8477,                0.51252,                 1.4613,                0.86489,                 1.4317,              0.0011956,              0.0011956,              0.0011956
                     28,                 1.0251,                0.71504,                 1.1454,                0.73608,                0.73305,                0.73561,                0.41425,                 1.5582,                 1.1631,                 1.5399,              0.0011647,              0.0011647,              0.0011647
                     29,                  1.018,                0.70825,                  1.138,                0.84265,                0.88559,                0.89225,                0.52111,                 1.4115,                 0.7686,                 1.4508,              0.0011337,              0.0011337,              0.0011337
                     30,                0.99558,                0.68967,                 1.1266,                 0.8254,                0.81129,                 0.8628,                0.54567,                 1.3637,                0.84253,                 1.3795,              0.0011028,              0.0011028,              0.0011028
                     31,                 1.0022,                0.68026,                 1.1293,                 0.8832,                0.84905,                0.90097,                0.53941,                 1.4135,                0.77082,                 1.4651,              0.0010719,              0.0010719,              0.0010719
                     32,                0.98412,                 0.6737,                 1.1135,                0.87348,                0.79449,                0.89174,                0.54343,                 1.4057,                0.76825,                 1.3971,              0.0010409,              0.0010409,              0.0010409
                     33,                0.96511,                0.65724,                 1.1007,                0.87243,                0.84958,                0.90615,                 0.5617,                 1.3631,                0.73744,                 1.4271,                0.00101,                0.00101,                0.00101
                     34,                0.95596,                0.64991,                 1.0963,                0.80041,                0.83475,                0.86229,                0.49073,                  1.526,                0.85505,                 1.5347,             0.00097906,             0.00097906,             0.00097906
                     35,                0.95061,                0.64705,                 1.1066,                0.87161,                0.85381,                0.88923,                0.54693,                 1.4101,                0.74008,                 1.4438,             0.00094812,             0.00094812,             0.00094812
                     36,                0.94581,                0.63324,                 1.0962,                0.88624,                 0.8418,                0.88551,                0.55803,                 1.4012,                0.79853,                 1.3754,             0.00091719,             0.00091719,             0.00091719
                     37,                0.91581,                0.60892,                  1.075,                0.85522,                0.82599,                0.88251,                0.53486,                 1.4446,                0.76847,                   1.46,             0.00088625,             0.00088625,             0.00088625
                     38,                0.91221,                0.59202,                 1.0735,                 0.9228,                0.84746,                0.90004,                0.54468,                  1.387,                0.72751,                 1.4369,             0.00085531,             0.00085531,             0.00085531
                     39,                0.90187,                0.58771,                 1.0725,                0.88559,                0.80932,                0.88467,                0.52996,                 1.4371,                0.75646,                 1.4624,             0.00082438,             0.00082438,             0.00082438
                     40,                 0.8848,                0.58586,                 1.0614,                0.85099,                0.80085,                0.87028,                0.48439,                 1.5911,                0.84979,                 1.5678,             0.00079344,             0.00079344,             0.00079344
                     41,                0.87153,                 0.5641,                 1.0581,                0.86094,                0.80011,                0.84396,                0.52942,                 1.4326,                 0.8305,                 1.4509,              0.0007625,              0.0007625,              0.0007625
                     42,                0.85055,                0.56369,                 1.0432,                0.89949,                0.81992,                0.90356,                0.54737,                 1.4288,                0.68898,                 1.4571,             0.00073156,             0.00073156,             0.00073156
                     43,                0.85871,                0.56351,                 1.0464,                0.91468,                0.85593,                0.91869,                0.56008,                 1.3965,                 0.6957,                 1.4324,             0.00070063,             0.00070063,             0.00070063
                     44,                0.84717,                0.55644,                 1.0431,                0.85972,                0.80502,                0.86664,                 0.5223,                 1.4567,                0.78797,                 1.4956,             0.00066969,             0.00066969,             0.00066969
                     45,                0.83367,                0.53335,                 1.0311,                 0.8884,                0.86016,                0.92443,                0.58491,                 1.3597,                0.66137,                 1.3827,             0.00063875,             0.00063875,             0.00063875
                     46,                0.83279,                0.52821,                 1.0303,                0.89091,                0.88247,                0.91288,                0.58468,                 1.3288,                0.64895,                 1.4151,             0.00060781,             0.00060781,             0.00060781
                     47,                0.81797,                0.52416,                 1.0276,                0.90134,                0.84322,                0.90871,                0.57158,                 1.3599,                 0.6758,                 1.3781,             0.00057688,             0.00057688,             0.00057688
                     48,                0.79629,                 0.5126,                 1.0123,                0.90305,                0.86831,                   0.92,                0.56153,                 1.4225,                0.69084,                 1.4675,             0.00054594,             0.00054594,             0.00054594
                     49,                0.79753,                0.52486,                 1.0114,                0.89359,                0.88958,                0.92614,                0.59832,                 1.3637,                0.65423,                 1.3944,               0.000515,               0.000515,               0.000515
                     50,                0.80148,                 0.5101,                 1.0168,                0.84606,                0.82675,                0.87415,                0.53253,                 1.4835,                 0.8041,                 1.4655,             0.00048406,             0.00048406,             0.00048406
                     51,                0.76645,                0.49937,                 1.0008,                0.89539,                0.84534,                0.91048,                0.55053,                 1.4557,                0.69439,                 1.4949,             0.00045313,             0.00045313,             0.00045313
                     52,                0.75604,                0.48815,                0.98974,                0.89627,                0.87865,                0.92305,                0.58456,                 1.3798,                0.66083,                 1.4506,             0.00042219,             0.00042219,             0.00042219
                     53,                0.75063,                0.47784,                0.99525,                0.90023,                0.86026,                0.90594,                 0.5705,                 1.4095,                0.65985,                 1.4713,             0.00039125,             0.00039125,             0.00039125
